"alpha","omega","g","replication"
0.807163449879803,0.808483242789874,"2",TRUE
0.855832254753303,0.858799275896049,"2",TRUE
0.843074660618963,0.846055065198586,"2",TRUE
0.813601095781664,0.816200472141251,"2",TRUE
0.810758592772975,0.813679225080263,"2",TRUE
0.797160008428543,0.801034379645177,"2",TRUE
0.839877796875676,0.840074394123141,"2",TRUE
0.825397305333935,0.826951191029707,"2",TRUE
0.840539791932715,0.844864107588931,"2",TRUE
0.830012743992173,0.833494799249239,"2",TRUE
0.855686038016209,0.858260572733576,"2",TRUE
0.733161719816349,0.74109229350923,"2",TRUE
0.845519500795362,0.848610449499097,"2",TRUE
0.90137358234932,0.906881249157684,"3",TRUE
0.802031982026998,0.826498341035159,"3",TRUE
0.851990849325151,0.859967286479913,"3",TRUE
0.897163390203077,0.89934579834227,"3",TRUE
0.902014263317479,0.902684424192023,"3",TRUE
0.946372096380941,0.946664774432553,"3",TRUE
0.895220869394405,0.897292848867837,"3",TRUE
0.938838328240234,0.939927600402535,"3",TRUE
0.903963995869659,0.907346037201771,"3",TRUE
0.91202874826962,0.913487470733562,"3",TRUE
0.895885718901882,0.897953885991393,"3",TRUE
0.879891058750667,0.882163820096351,"3",TRUE
0.918705731239966,0.921558021250473,"3",TRUE
0.888423961026633,0.891878473252797,"3",TRUE
0.916384210931716,0.918405632027994,"3",TRUE
0.901496528286716,0.902321678005833,"3",TRUE
0.891571505967656,0.896775580129493,"3",TRUE
0.887586252378524,0.889441766236261,"3",TRUE
0.913450821939635,0.920026947521927,"3",TRUE
0.884247880808947,0.885973716222935,"3",TRUE
0.915519988772925,0.916603653304879,"3",TRUE
0.873335123944926,0.875941751735468,"3",TRUE
0.909934293216649,0.911374663589441,"3",TRUE
0.868454579215023,0.872390746336413,"3",TRUE
0.914458212960242,0.916633439124322,"3",TRUE
0.909163087731574,0.91473647245528,"3",TRUE
0.940610880429134,0.942007788889705,"3",TRUE
0.90614691912875,0.90794574803839,"3",TRUE
0.917677671935855,0.920737832251618,"3",TRUE
0.911727262905449,0.915486659673945,"3",TRUE
0.902427870836046,0.904049575007103,"3",TRUE
0.849501811618408,0.854880825512466,"3",TRUE
0.90155525274275,0.903607772012506,"3",TRUE
0.905804365282239,0.907720758921859,"3",TRUE
0.892304171569755,0.895011145411178,"3",TRUE
0.85435865567043,0.859563191382771,"3",TRUE
0.952657542327082,0.954026668554612,"4",TRUE
0.925042934343505,0.927519314589495,"4",TRUE
0.948758624811117,0.949727757781137,"4",TRUE
0.944957486402987,0.945996901204571,"4",TRUE
0.968599518852012,0.969056843336415,"4",TRUE
0.944651920262691,0.94576161367334,"4",TRUE
0.958733396526577,0.959099803439259,"4",TRUE
0.966248774642401,0.96660607030854,"4",TRUE
0.959864322259164,0.960877175259809,"4",TRUE
0.934215495247974,0.936834097088247,"4",TRUE
0.945177496803796,0.946251131386146,"4",TRUE
0.954116140167971,0.95525090143854,"4",TRUE
0.950706886877594,0.951394922040911,"4",TRUE
0.949037122231689,0.950940391898685,"4",TRUE
0.955215260591212,0.955749486761829,"4",TRUE
0.941730399889513,0.943006619567267,"4",TRUE
0.933648935552928,0.936580124941809,"4",TRUE
0.955133806606057,0.955724246389263,"4",TRUE
0.958298895521174,0.958465788443011,"4",TRUE
0.957133094858815,0.95729443811551,"4",TRUE
0.956851421551873,0.958596092045077,"4",TRUE
0.955510382757829,0.956130590768057,"4",TRUE
0.957009923895991,0.957601846967433,"4",TRUE
0.94968493015283,0.950022788877429,"4",TRUE
0.951759463775973,0.952865601884729,"4",TRUE
0.939013108843371,0.939672960940849,"4",TRUE
