"ResponseId","Location","HAPPY","ANGRY","GENERAL ACTION","SPECIFIC ACTION","ACTION","SUM of ACTIONs","INACTION","NEUTRAL","Not FOUND","Blank","SAT1","SAT2","SAT3","SAT4","SAT5","SAT6","SAT7","SAT8","SAT9","SAT10","SAT11","SAT12","SAT13","SAT14","SAT15","SAT16","SAT17","SAT18","SAT19","SAT20","SAT21","SATTotal","Condition"
"R_1i84RSD7c0mvkcD","Wesleyan",8,1,1,4,2,7,8,23,2,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,17,"action"
"R_1IKMcoETpB7Jrx8","Wesleyan",5,3,5,3,4,12,4,20,4,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,13,"inaction"
"R_1ilMWlWnu0DlzzT","Illinois",5,1,1,3,5,9,5,12,5,9,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,12,"action"
"R_1Im866AIh8QQM5X","Oregon",5,7,0,4,5,9,6,11,12,2,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,1,1,0,11,"action"
"R_1injac2IIhrSphY","Oregon",7,1,2,1,2,5,5,12,18,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,12,"action"
"R_1IQOVFC7FMNwspa","Wesleyan",6,1,2,3,3,8,9,14,9,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,7,"inaction"
"R_1is2MyNWZJRwW3k","Oregon",7,2,0,2,3,5,6,16,10,3,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,5,"inaction"
"R_1j8OlB7YEMISRbA","Wesleyan",4,5,1,1,3,5,6,22,7,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,7,"action"
"R_1jiECm6Wpy7NNy8","Oregon",9,1,2,1,7,10,7,19,4,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,9,"inaction"
"R_1jrJXRaybKR5lPz","Toronto",7,1,1,2,2,5,3,15,11,6,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,7,"action"
"R_1JVJAMBN8yNl41U","Illinois",4,3,0,0,4,4,7,20,4,5,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,6,"inaction"
"R_1k1fjaVw4Uyl8rp","Toronto",6,2,1,3,5,9,7,15,3,6,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,11,"inaction"
"R_1k1hMnd1QtNJCsS","Wesleyan",5,5,1,0,6,7,5,8,4,16,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,11,"action"
"R_1KeeLP22p2fk818","Oregon",2,7,2,1,3,6,6,18,10,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,10,"action"
"R_1kSnShURqEU7diV","Oregon",4,2,4,1,4,9,3,17,11,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,0,8,"action"
"R_1LbCwcOGVuM5qtu","Wesleyan",5,1,1,5,3,9,4,24,1,2,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,16,"action"
"R_1lhrzAKQn1YYvbB","Toronto",5,1,2,5,2,9,4,15,1,11,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,6,"inaction"
"R_1LIF0OZd951SLlm","Illinois",4,4,3,1,4,8,9,20,3,0,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,12,"action"
"R_1LjqIELg3jLOpaL","Toronto",4,6,2,3,6,11,5,16,6,2,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,9,"action"
"R_1LM3VylZycv5Beo","Wesleyan",4,1,2,3,5,10,7,23,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,16,"inaction"
"R_1LNLBTNpTJM4RAP","Illinois",7,3,0,2,1,3,8,17,4,8,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,10,"inaction"
"R_1LnWtG4M7lz0rp9","Illinois",5,6,4,5,4,13,7,16,4,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,8,"inaction"
"R_1lrBEUIIrH6bLVr","Wesleyan",6,1,0,1,3,4,9,20,5,2,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,13,"inaction"
"R_1M4EgybvU5sBulE","Wesleyan",4,6,2,2,3,7,6,20,4,3,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,6,"action"
"R_1mDYA0Uwix7uVs5","Wesleyan",2,3,1,2,3,6,9,18,7,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6,"inaction"
"R_1meYSjTK2osnn00","Wesleyan",7,3,1,3,6,10,6,20,2,2,0,1,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,1,13,"action"
"R_1MKQX9f1ljTNIsI","Wesleyan",7,1,2,2,5,9,5,19,7,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,13,"inaction"
"R_1mQ38p0lrnDhzGG","Oregon",8,3,3,3,5,11,3,17,9,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,11,"action"
"R_1MXpxzcZ2NYushG","Illinois",8,2,2,2,6,10,5,24,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,14,"action"
"R_1MZjpeviYpfU0Ak","Wesleyan",3,5,2,3,3,8,8,19,5,0,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,14,"action"
"R_1n6iYfVFK5rq4lQ","Wesleyan",7,2,1,3,3,7,8,22,3,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,14,"action"
"R_1n9ObsUztkiB1vh","Toronto",2,3,3,2,4,9,6,17,8,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,11,"inaction"
"R_1NDgLPr9qbb3poB","Illinois",1,1,1,2,8,11,5,20,4,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,16,"action"
"R_1nNjRtdGCDk3w7E","Toronto",6,1,1,2,7,10,4,15,2,9,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,12,"inaction"
"R_1NqsEkVrqfjPicS","Illinois",6,1,0,0,2,2,3,21,4,10,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,8,"inaction"
"R_1nYOJA3gy6X0tmb","Oregon",5,1,2,3,3,8,5,17,10,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,6,"action"
"R_1o0utBb74QbrTph","Illinois",6,1,3,2,4,9,7,19,5,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,16,"action"
"R_1omWOSyzJBDpBEC","Oregon",7,1,1,0,4,5,7,23,5,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,9,"inaction"
"R_1onbPSaDbfyIcke","Wesleyan",3,3,0,3,5,8,9,21,2,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,19,"action"
"R_1OvPTC3mu0Ae3SB","Illinois",7,2,2,0,7,9,7,20,4,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,9,"inaction"
"R_1Oy0afhEqSn1B1I","Toronto",6,1,3,1,6,10,7,14,9,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,15,"action"
"R_1ozKaZdXjl29WOW","Oregon",5,4,4,2,6,12,8,16,3,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,13,"action"
"R_1Pc5MmjS9S3nAbh","Oregon",3,2,3,4,1,8,8,14,10,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,8,"inaction"
"R_1pPOHXp9OINAyAM","Oregon",7,2,0,1,3,4,4,17,7,8,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,7,"inaction"
"R_1pSijhzQEpxctEY","Toronto",6,3,3,1,5,9,7,16,4,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,5,"inaction"
"R_1pxGF3Po7J5ZbB4","Oregon",3,3,3,3,4,10,6,21,3,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,15,"inaction"
"R_1pXu3KbvwvQ6v5z","Oregon",6,2,2,4,4,10,11,12,5,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,15,"inaction"
"R_1Q4ytpoo0Evljmx","Toronto",3,5,1,1,3,5,1,9,5,20,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,6,"inaction"
"R_1QDDXuoHIFfv4fI","Illinois",4,4,1,0,4,5,2,6,5,22,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,7,"inaction"
"R_1qdPiYdeEbHrWcs","Toronto",7,1,0,2,3,5,6,18,1,10,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,9,"action"
"R_1Qfj6qv6V6zihE6","Toronto",5,5,4,3,3,10,8,10,9,3,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,1,11,"action"
"R_1QLVGsbu8cHcDKm","Toronto",4,4,2,0,3,5,4,20,10,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,"inaction"
"R_1rJ0fb2L4J1LZP1","Toronto",3,2,0,2,6,8,6,13,9,4,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,7,"inaction"
"R_1rJpgKOkZXNGLyz","Wesleyan",6,4,1,4,6,11,9,16,3,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,9,"action"
