"Site","ID","ID2","gender","child_parent","age","age_.year","age_.month","age_.days","age_days","age_months","snake_experience","fear_snake","zoo","protocol","target_stimulus","order","stimulus_1","stimulus_2","stimulus_3","stimulus_4","stimulus_5","stimulus_6","stimulus_7","stimulus_8","stimulus_9","stimulus_10","stimulus_11","stimulus_12","stimulus_13","stimulus_14","stimulus_15","stimulus_16","stimulus_17","stimulus_18","stimulus_19","stimulus_20","stimulus_21","stimulus_22","stimulus_23","stimulus_24","RT.correct","number_errors"
"BG","RP081RFS  ","1RP081RFS   ","female","parent","31y-10m-23d  ",31,10,23,11650.125,382.755646817248,"no","yes",NA,"RP","other",3,1.31,2.059,1.373,2.699,1.03,1.217,1.794,0.983,1.107,3.838,2.23,1.155,1.342,1.716,1.497,2.122,1.263,1.139,2.589,1.778,1.139,2.152,2.075,1.202,1.7,0
"BG","RP082DFS  ","1RP082DFS   ","female","child","3y-8m-15d    ",3,8,15,1354.25,44.4928131416838,"no","unknown",1,"RP","other",3,6.552,4.945,7.004,10.467,4.664,4.102,12.636,5.491,3.166,11.606,5.912,4.758,3.323,4.028,4.181,3.104,5.834,3.229,4.352,4.197,4.821,3.573,4.275,4.134,5.174,4
"BG","RP082RFS  ","1RP082RFS   ","female","parent","34y-11m-4d   ",34,11,4,12757.3125,419.131416837782,"no","yes",NA,"RP","other",3,1.529,2.355,1.81,1.31,1.107,2.106,2.2,2.091,1.95,1.904,2.231,2.106,1.669,2.574,1.139,1.373,1.888,2.293,1.061,2.45,1.155,1.497,1.03,1.232,1.753,0
"BG","RP084DSF  ","1RP084DSF   ","male","child","3y-3m-1d     ",3,3,1,1188.0625,39.0328542094456,"no","unknown",1,"RP","snake",4,4.883,7.598,6.755,2.84,10.654,2.247,7.706,6.568,3.151,3.635,3.291,2.902,2.777,3.495,2.402,4.368,5.881,3.619,7.332,5.398,5.35,3.198,2.169,4.539,4.366,3
"BG","RP084RSF  ","1RP084RSF   ","male","parent","43y-2m-28d   ",43,2,28,15794.625,518.919917864476,"no","yes",NA,"RP","snake",4,1.638,1.763,1.701,2.012,1.326,1.498,1.467,1.856,3.479,1.638,3.354,1.373,2.855,2.2,2.075,1.872,2.246,1.545,1.389,1.466,2.59,2.356,1.56,1.575,1.951,0
"BG","RP085DFS  ","1RP085DFS   ","male","child","3y-1m-22d    ",3,1,22,1148.1875,37.7227926078029,"no","no",1,"RP","other",3,7.348,2.527,2.043,3.791,8.159,4.696,6.053,47.923,3.089,4.945,2.948,5.585,3.183,5.023,2.262,4.586,2.605,1.934,3.869,3.9,1.934,6.131,6.49,2.028,5.96,0
"BG","RP085RFS  ","1RP085RFS   ","male","parent","36y-8m-5d    ",36,8,5,13397.5,440.164271047228,"no","no",NA,"RP","other",3,1.436,1.17,1.841,1.466,1.326,2.434,1.466,1.248,1.092,1.982,2.543,1.014,2.059,2.433,1.545,2.964,2.777,1.872,1.966,2.886,1.342,1.295,1.529,1.966,1.819,0
"BG","RP086DSF  ","1RP086DSF   ","male","child","3y-1m-8d     ",3,1,8,1134.1875,37.2628336755647,"no","unknown",1,"RP","snake",4,6.318,4.493,4.227,2.683,5.164,6.474,12.262,3.198,6.364,5.46,7.878,13.65,7.426,2.652,1.747,2.917,3.682,5.241,4.431,3.167,6.443,11.997,7.051,3.494,5.936,4
"BG","RP086RSF  ","1RP086RSF   ","male","parent","38y-0m-1d    ",38,0,1,13880.5,456.032854209446,"yes","yes",NA,"RP","snake",4,1.311,2.698,1.56,1.606,1.092,1.81,1.872,2.059,1.482,1.56,2.091,2.106,2.73,1.264,1.061,1.279,1.388,0.983,2.013,1.123,1.404,1.888,1.326,1.092,1.617,0
"BG","RP087DSF  ","1RP087DSF   ","male","child","3y-3m-12d    ",3,3,12,1199.0625,39.394250513347,"no","unknown",2,"RP","snake",4,5.304,4.321,2.277,6.459,4.945,2.184,3.994,4.789,5.819,4.212,5.741,5.772,3.214,2.62,2.932,4.727,2.995,4.665,3.759,2.824,3.885,2.387,4.212,4.929,4.124,0
