"g","elm_01","elm_02","elm_03","elm_04","elm_05"
"IthacaCollege",6,3,5,6,5
"IthacaCollege",6,6,6,5,6
"IthacaCollege",6,4,5,6,5
"IthacaCollege",6,5,5,5,5
"IthacaCollege",7,6,8,6,7
"IthacaCollege",5,5,5,6,5
"IthacaCollege",2,5,4,4,4
"IthacaCollege",7,7,8,6,7
"IthacaCollege",6,6,7,7,7
"IthacaCollege",7,6,8,7,8
"IthacaCollege",6,4,6,6,7
"IthacaCollege",7,5,5,5,5
"IthacaCollege",7,7,7,7,6
"IthacaCollege",8,5,8,6,7
"IthacaCollege",6,5,8,6,5
"IthacaCollege",8,5,6,6,5
"IthacaCollege",6,4,4,6,6
"IthacaCollege",7,6,8,6,7
"IthacaCollege",6,4,5,6,5
"IthacaCollege",4,4,4,4,3
"IthacaCollege",6,4,6,6,5
"IthacaCollege",8,6,7,8,7
"IthacaCollege",7,5,8,4,8
"IthacaCollege",3,5,4,5,4
"IthacaCollege",6,7,7,8,4
"IthacaCollege",6,5,6,6,6
"IthacaCollege",8,7,6,7,6
"IthacaCollege",7,4,5,3,5
"IthacaCollege",7,7,7,7,7
"IthacaCollege",8,5,8,7,7
"MiamiUniversity",5,5,6,3,5
"MiamiUniversity",5,5,6,3,5
"MiamiUniversity",5,5,3,9,5
"MiamiUniversity",9,7,7,7,5
"MiamiUniversity",6,5,5,5,5
"MiamiUniversity",4,5,5,6,6
"MiamiUniversity",6,6,4,5,5
"MiamiUniversity",4,4,5,6,5
"MiamiUniversity",4,5,2,4,4
"MiamiUniversity",5,6,6,4,6
"MiamiUniversity",6,6,7,6,6
"MiamiUniversity",9,7,6,7,9
"MiamiUniversity",5,6,4,6,4
"MiamiUniversity",6,4,3,3,3
"MiamiUniversity",6,5,7,5,5
"MiamiUniversity",7,5,6,6,7
"MiamiUniversity",6,5,4,6,6
"MiamiUniversity",3,5,3,3,1
"MiamiUniversity",4,6,6,5,6
"MiamiUniversity",8,6,7,6,8
"MiamiUniversity",5,5,5,5,5
"MiamiUniversity",6,6,5,5,6
"MiamiUniversity",9,6,5,4,6
"MiamiUniversity",9,9,9,9,9
"MiamiUniversity",6,6,7,7,6
"MiamiUniversity",6,3,2,1,3
"MiamiUniversity",9,9,9,9,7
"MiamiUniversity",5,6,7,7,5
"MiamiUniversity",9,9,9,9,6
"MiamiUniversity",8,7,8,7,8
"MiamiUniversity",6,4,7,6,6
"MiamiUniversity",7,5,6,7,7
"MiamiUniversity",6,7,6,5,6
"MiamiUniversity",8,8,8,8,8
"MiamiUniversity",7,3,5,6,7
"MiamiUniversity",9,5,7,4,8
"MiamiUniversity",6,5,6,6,5
"MiamiUniversity",8,7,8,7,7
"MiamiUniversity",8,7,7,7,7
"MiamiUniversity",9,9,9,7,7
"MiamiUniversity",9,6,5,7,5
"MiamiUniversity",6,5,7,6,5
"MiamiUniversity",8,7,9,6,7
"MiamiUniversity",7,7,6,6,7
"MiamiUniversity",4,4,4,4,4
"MiamiUniversity",5,3,6,3,5
"MiamiUniversity",6,6,5,7,5
"MiamiUniversity",8,4,7,5,5
"MiamiUniversity",8,7,7,7,6
"MiamiUniversity",4,5,5,8,5
"MiamiUniversity",5,1,7,6,5
"MiamiUniversity",4,3,4,5,4
"MiamiUniversity",7,6,8,5,6
"MiamiUniversity",7,6,7,6,6
"MiamiUniversity",6,4,6,7,5
"MiamiUniversity",3,4,3,5,3
"MiamiUniversity",6,5,5,5,4
"MiamiUniversity",7,7,6,8,8
"MiamiUniversity",7,7,7,5,6
"MiamiUniversity",3,5,2,7,6
"MiamiUniversity",7,3,4,5,5
"MiamiUniversity",6,5,6,4,6
"MiamiUniversity",3,4,3,6,4
"MiamiUniversity",9,9,9,9,9
"MiamiUniversity",8,8,8,9,5
"MiamiUniversity",6,6,6,6,6
"MiamiUniversity",7,4,6,9,7
"MiamiUniversity",6,9,7,5,5
"MiamiUniversity",5,4,4,5,4
"MiamiUniversity",7,7,9,9,7
"MiamiUniversity",7,4,4,8,5
"MiamiUniversity",6,5,7,9,6
