"g","imaginedexplicit1","imaginedexplicit2","imaginedexplicit3","imaginedexplicit4"
"pi      ",5,4,5,9
"pi      ",5,5,6,3
"pi      ",9,5,9,5
"pi      ",5,5,6,7
"pi      ",5,1,4,1
"pi      ",7,5,5,3
"pi      ",5,3,5,5
"pi      ",5,3,1,2
"pi      ",5,3,8,5
"pi      ",2,3,6,9
"pi      ",2,2,2,1
"pi      ",6,6,8,7
"pi      ",6,9,6,7
"pi      ",5,2,9,7
"pi      ",9,9,9,9
"pi      ",2,5,1,9
"pi      ",7,5,5,3
"pi      ",3,1,4,5
"pi      ",5,1,5,9
"pi      ",1,2,2,2
"pi      ",1,1,1,1
"pi      ",2,2,2,2
"pi      ",1,5,1,1
"pi      ",1,1,1,1
"pi      ",3,1,6,1
"pi      ",5,5,5,9
"pi      ",5,7,7,9
"pi      ",4,6,7,9
"pi      ",2,2,3,3
"pi      ",9,5,7,5
"pi      ",9,4,9,5
"pi      ",7,8,7,9
"pi      ",1,2,3,5
"pi      ",5,2,5,1
"pi      ",3,4,4,5
"pi      ",5,7,6,8
"pi      ",5,7,6,7
"pi      ",7,5,5,5
"pi      ",5,6,5,9
"pi      ",3,4,3,7
"pi      ",5,3,1,9
"pi      ",9,7,9,9
"pi      ",3,1,1,1
"pi      ",4,2,4,1
"pi      ",7,8,7,9
"pi      ",4,3,5,2
"pi      ",7,7,9,9
"pi      ",6,5,6,9
"mcdaniel",5,5,5,2
"pi      ",5,3,7,7
"pi      ",7,6,8,NA
"pi      ",3,1,1,1
"mcdaniel",9,7,9,9
"pi      ",4,1,1,1
"pi      ",5,5,5,9
"pi      ",5,1,4,3
"pi      ",5,5,7,9
"pi      ",4,2,9,1
"pi      ",4,4,9,9
"pi      ",1,1,5,2
"pi      ",6,2,6,9
"pi      ",9,3,3,3
"ufl     ",1,2,4,3
"ufl     ",5,5,7,8
"ufl     ",3,2,5,7
"ufl     ",6,6,5,5
"pi      ",5,5,7,5
"pi      ",2,3,1,1
"mturk   ",9,1,1,1
"mturk   ",5,3,5,1
"mturk   ",3,1,7,7
"tamuc   ",9,9,8,8
"mturk   ",5,1,7,3
"mturk   ",4,3,6,3
"mturk   ",1,1,5,1
"mturk   ",4,7,4,3
"mturk   ",9,4,6,7
"mturk   ",9,3,9,7
"mturk   ",8,3,7,7
"mturk   ",2,3,3,2
"mturk   ",5,3,5,1
"mturk   ",1,1,1,1
"mturk   ",9,5,9,9
"mturk   ",1,2,1,1
"mturk   ",5,4,7,4
"mturk   ",5,1,2,1
"mturk   ",7,8,8,9
"mturk   ",6,5,4,7
"mturk   ",9,9,9,8
"mturk   ",5,3,3,8
"mturk   ",6,6,7,1
"mturk   ",1,1,1,1
"mturk   ",5,1,1,1
"mturk   ",5,2,6,8
"mturk   ",5,4,6,6
"mturk   ",3,1,2,1
"mturk   ",2,2,1,1
"mturk   ",8,4,6,8
"tamuc   ",5,4,5,6
"mturk   ",1,1,1,1
"mturk   ",6,7,9,9
"mturk   ",4,3,7,3
"mturk   ",5,3,5,3
"mturk   ",1,5,1,1
"mturk   ",3,3,2,4
"mturk   ",5,6,6,7
"mturk   ",4,6,5,8
"pi      ",5,5,7,9
"mturk   ",3,5,5,3
"mturk   ",5,3,5,3
"mturk   ",2,1,2,1
"mturk   ",5,2,5,5
"mturk   ",1,2,5,1
"mturk   ",3,3,1,1
"mturk   ",8,8,9,9
"mturk   ",6,4,4,3
"mturk   ",4,3,3,2
"mturk   ",3,2,3,3
"mturk   ",8,6,7,4
"mturk   ",1,1,1,1
"mturk   ",3,2,6,6
"mturk   ",7,9,9,8
"mturk   ",5,3,7,4
"mturk   ",5,5,5,2
"mturk   ",5,3,5,1
"mturk   ",5,1,5,2
"mturk   ",9,6,9,9
"pi      ",7,6,7,6
"mturk   ",1,1,1,1
"mturk   ",2,2,3,1
"mturk   ",4,2,3,2
"mturk   ",6,5,7,5
"tamuc   ",5,6,6,7
"mturk   ",4,1,4,1
"mturk   ",7,7,8,9
"mturk   ",2,1,1,1
"mturk   ",1,5,5,1
"mturk   ",9,1,9,9
"mturk   ",1,1,1,1
"mturk   ",3,1,2,3
"mturk   ",7,7,8,8
"mturk   ",8,8,9,9
"pi      ",6,7,6,9
"mturk   ",2,2,3,1
"mturk   ",7,2,9,3
"mturk   ",9,1,9,1
"jmu     ",1,1,4,1
"pi      ",5,1,5,7
"mturk   ",4,4,5,1
"jmu     ",7,8,7,6
"jmu     ",4,3,3,1
"mturk   ",9,2,1,5
"mturk   ",9,1,9,7
"mturk   ",1,1,5,1
"pi      ",3,5,5,6
"pi      ",1,4,3,9
"mturk   ",5,7,7,9
"mturk   ",9,7,9,9
"pi      ",3,3,3,1
"mturk   ",4,3,5,8
"mturk   ",7,6,6,7
"mturk   ",4,1,4,3
"jmu     ",4,4,4,6
"mturk   ",6,4,7,2
"jmu     ",5,5,8,9
"tamuc   ",9,9,9,9
"mturk   ",9,5,9,1
"jmu     ",5,6,9,7
"mturk   ",3,4,5,2
"mturk   ",5,6,5,6
"jmu     ",9,4,6,3
"mturk   ",9,4,5,1
"mturk   ",5,6,5,4
"mturk   ",2,2,3,6
"mturk   ",9,1,5,2
"mturk   ",5,4,5,3
"mturk   ",1,1,1,1
"mturk   ",1,1,3,1
"mcdaniel",1,2,6,1
"mturk   ",7,6,5,8
"jmu     ",5,2,5,3
"pi      ",5,5,5,5
"ufl     ",2,2,3,4
"mturk   ",6,5,6,7
"mturk   ",5,3,3,2
"jmu     ",5,1,3,2
"jmu     ",2,3,7,2
"jmu     ",6,3,2,6
"mturk   ",5,5,8,5
"ufl     ",4,4,5,4
"mturk   ",2,2,3,1
"mturk   ",5,3,5,8
"pi      ",5,4,5,7
"pi      ",5,5,5,5
"pi      ",5,5,6,8
"mturk   ",6,2,5,5
"pi      ",6,5,7,6
"jmu     ",5,3,5,3
"jmu     ",7,3,5,5
"pi      ",4,4,4,2
"mturk   ",5,5,5,1
"mturk   ",5,2,6,7
"mturk   ",6,1,7,1
"mturk   ",5,6,5,7
"mturk   ",3,2,5,2
"mturk   ",6,7,9,5
"mturk   ",5,4,8,7
"mturk   ",5,6,6,8
"mturk   ",7,3,5,6
"mturk   ",5,1,6,1
"mturk   ",5,4,5,3
"mturk   ",6,4,5,7
"mturk   ",5,2,3,6
"mcdaniel",9,7,7,9
"mturk   ",7,3,4,1
"jmu     ",9,8,9,8
"mturk   ",5,5,6,3
"jmu     ",5,2,7,4
"mcdaniel",5,6,7,9
"mturk   ",5,2,2,2
"mturk   ",2,2,2,2
"mturk   ",1,1,1,1
"mturk   ",7,8,9,7
"mturk   ",2,2,5,1
"mturk   ",5,2,5,6
"mturk   ",1,1,1,1
"mturk   ",7,7,7,8
"mturk   ",3,1,3,3
"mturk   ",5,3,5,6
"mturk   ",4,4,4,4
"mturk   ",5,6,6,9
"mturk   ",2,2,3,1
"mturk   ",5,3,5,1
"jmu     ",4,4,5,9
"mturk   ",9,9,9,9
"mturk   ",2,1,1,2
"mturk   ",7,3,7,8
"mturk   ",5,1,5,1
"mturk   ",1,5,1,3
"mturk   ",6,3,5,1
"mturk   ",8,7,8,6
"mturk   ",4,3,4,2
"mturk   ",5,4,6,4
"mturk   ",5,5,6,5
"mturk   ",1,3,4,1
"jmu     ",5,5,5,8
"mturk   ",6,8,4,9
"mturk   ",4,4,6,4
"mturk   ",6,4,5,5
"mturk   ",6,5,8,8
"mturk   ",5,5,6,3
"jmu     ",5,5,5,5
"mturk   ",2,3,2,1
"mturk   ",6,5,7,4
"mturk   ",5,7,3,2
"mturk   ",5,3,6,2
"pi      ",4,4,5,8
"pi      ",1,1,3,1
"tamuc   ",4,5,5,1
"jmu     ",7,3,8,2
"mturk   ",4,2,7,3
"pi      ",6,5,6,4
"jmu     ",6,3,7,6
"jmu     ",5,2,2,5
"jmu     ",5,3,7,2
"jmu     ",2,2,5,5
"jmu     ",4,1,1,1
"jmu     ",5,5,5,6
"pi      ",5,6,4,7
"pi      ",3,2,5,9
"jmu     ",2,3,2,5
"pi      ",5,4,5,5
"pi      ",7,7,7,6
"pi      ",5,6,5,6
"jmu     ",5,5,5,7
"pi      ",5,6,5,9
"jmu     ",4,5,5,5
"pi      ",4,2,2,3
"jmu     ",5,5,5,2
"jmu     ",6,4,6,7
"jmu     ",5,6,8,7
"jmu     ",6,3,3,2
"jmu     ",2,2,2,1
"jmu     ",9,9,7,8
"jmu     ",5,3,5,8
"jmu     ",2,1,1,1
"jmu     ",2,2,3,1
"jmu     ",7,6,6,9
"jmu     ",6,6,6,7
"jmu     ",5,2,2,5
"jmu     ",4,1,5,1
"jmu     ",4,3,5,6
"jmu     ",5,5,5,5
"jmu     ",5,2,9,2
"jmu     ",9,8,8,8
"jmu     ",3,2,3,2
"pi      ",5,5,5,3
"jmu     ",2,2,2,2
"jmu     ",5,2,3,5
"jmu     ",4,2,4,4
"jmu     ",5,3,5,9
"jmu     ",3,4,2,2
"jmu     ",2,4,2,2
"jmu     ",3,2,1,2
"jmu     ",6,4,5,7
"jmu     ",5,4,4,3
"jmu     ",1,2,2,7
"jmu     ",7,6,7,9
"jmu     ",2,2,2,1
"jmu     ",6,3,5,2
"jmu     ",5,5,5,1
"pi      ",4,1,2,1
"pi      ",7,5,5,9
"jmu     ",2,3,2,2
"jmu     ",9,7,9,9
"jmu     ",5,4,5,8
"jmu     ",NA,4,NA,5
"jmu     ",5,4,9,9
"jmu     ",4,4,5,8
"jmu     ",8,1,8,9
"jmu     ",5,3,5,5
"jmu     ",7,7,9,9
"jmu     ",6,4,5,6
"jmu     ",8,4,9,6
"jmu     ",6,3,5,8
"jmu     ",5,3,4,2
"jmu     ",5,5,7,6
"jmu     ",5,5,7,9
"pi      ",1,2,2,1
"jmu     ",7,6,7,5
"jmu     ",3,2,5,8
"pi      ",4,3,4,2
"jmu     ",4,2,3,3
"jmu     ",2,1,2,2
"jmu     ",5,6,6,1
"jmu     ",5,2,4,5
"pi      ",3,3,6,3
"jmu     ",5,6,6,6
"pi      ",1,1,1,1
"pi      ",4,1,6,1
"jmu     ",1,1,1,1
"jmu     ",5,4,5,9
"pi      ",8,8,8,8
"jmu     ",4,2,4,5
"jmu     ",4,3,NA,NA
"jmu     ",9,7,4,7
"jmu     ",5,7,7,4
"jmu     ",2,2,4,7
"pi      ",5,3,9,5
"jmu     ",4,1,1,2
"jmu     ",2,2,4,4
"jmu     ",5,5,5,NA
"pi      ",5,5,5,9
"jmu     ",4,1,3,2
"pi      ",4,4,5,5
"jmu     ",9,4,9,9
"pi      ",6,5,9,9
"jmu     ",3,2,3,9
"pi      ",6,4,3,5
"pi      ",5,5,5,7
"jmu     ",5,7,9,7
"pi      ",6,4,6,8
"jmu     ",5,3,8,2
"pi      ",5,1,3,1
"jmu     ",4,6,8,7
"jmu     ",6,5,5,3
"tamuc   ",5,4,5,1
"tamuc   ",5,4,7,9
"ufl     ",5,2,5,1
"ufl     ",2,2,3,3
"jmu     ",5,3,5,5
"ufl     ",5,7,6,7
"ufl     ",4,1,2,1
"jmu     ",3,1,5,1
"jmu     ",5,3,5,2
"jmu     ",5,6,5,4
"jmu     ",4,2,2,2
"tamu    ",5,5,3,9
"tamu    ",2,4,3,1
"tamu    ",2,2,3,2
"tamu    ",3,1,6,2
"jmu     ",8,6,7,9
"jmu     ",4,6,7,9
"pi      ",5,4,6,6
"ufl     ",3,2,2,1
"jmu     ",3,4,9,5
"jmu     ",2,2,3,2
"pi      ",6,7,6,9
"tamu    ",5,5,6,4
"pi      ",5,5,6,9
"tamu    ",3,2,9,1
"jmu     ",5,5,6,5
"tamu    ",3,2,2,1
"tamu    ",5,4,5,2
"tamu    ",5,2,3,1
"jmu     ",7,4,9,9
"tamu    ",5,6,7,9
"tamuc   ",5,4,5,8
"jmu     ",3,3,7,5
"pi      ",1,1,1,1
"pi      ",3,3,2,7
"jmu     ",5,3,5,6
"jmu     ",5,5,5,8
"jmu     ",6,4,5,1
"pi      ",3,NA,3,3
"jmu     ",9,7,7,6
"jmu     ",5,7,7,4
"jmu     ",5,5,5,8
"pi      ",5,5,5,2
"pi      ",5,5,9,9
"jmu     ",5,6,5,5
"tamu    ",5,2,5,1
"tamu    ",9,4,7,9
"jmu     ",5,3,5,4
"tamu    ",5,4,5,6
"tamu    ",7,5,7,6
"tamu    ",2,1,2,3
"tamu    ",2,3,5,6
"jmu     ",6,4,7,8
"mturk   ",6,7,8,7
"mturk   ",1,2,1,1
"mturk   ",2,2,5,5
"mturk   ",4,4,4,6
"mturk   ",1,1,3,1
"mturk   ",8,6,8,8
"mturk   ",5,5,5,7
"mturk   ",5,7,8,9
"mturk   ",2,2,5,9
"mturk   ",3,1,5,1
"mturk   ",3,4,5,2
"mturk   ",5,9,5,9
"mturk   ",5,5,5,3
"mturk   ",9,7,9,9
"mturk   ",2,3,3,1
"mturk   ",6,1,9,5
"mturk   ",5,4,6,3
"mturk   ",7,3,5,5
"mturk   ",8,7,7,3
"mturk   ",5,3,5,7
"mturk   ",1,1,1,1
"mturk   ",5,6,6,9
"mturk   ",4,4,1,5
"mturk   ",5,6,7,9
"mturk   ",6,5,5,5
"mturk   ",5,4,5,3
"mturk   ",5,5,5,5
"mturk   ",1,1,1,1
"mturk   ",1,2,2,3
"mturk   ",3,1,2,2
"mturk   ",5,1,5,7
"mturk   ",3,4,7,9
"mturk   ",1,1,1,1
"mturk   ",7,3,6,1
"mturk   ",1,2,2,5
"mturk   ",5,5,5,9
"mturk   ",4,5,7,5
"mturk   ",1,1,5,1
"ufl     ",7,5,8,8
"mturk   ",6,4,5,7
"mturk   ",1,1,1,1
"mturk   ",3,5,2,1
"mturk   ",5,3,5,1
"tamu    ",4,3,7,7
"tamu    ",1,1,3,1
"tamu    ",3,2,4,2
"tamu    ",5,3,5,2
"tamu    ",1,2,4,6
"tamu    ",6,4,2,7
"mturk   ",9,6,7,9
"mturk   ",8,1,1,1
"mturk   ",5,6,6,6
"jmu     ",3,2,3,1
"tamuc   ",5,5,6,7
"mturk   ",5,6,9,9
"mturk   ",4,1,1,4
"tamuc   ",3,3,7,2
"mturk   ",8,9,7,8
"pi      ",5,3,7,6
"tamu    ",5,3,8,5
"pi      ",4,2,1,2
"tamu    ",5,5,9,6
"tamu    ",3,3,4,7
"tamu    ",2,2,2,1
"tamu    ",9,9,7,9
"tamu    ",3,2,1,5
"pi      ",7,3,4,5
"jmu     ",3,3,6,5
"tamuc   ",1,1,1,1
"tamu    ",1,1,1,1
"tamu    ",5,5,7,9
"tamu    ",5,6,9,1
"tamu    ",1,1,2,5
"tamu    ",3,7,7,3
"mturk   ",2,2,2,9
"tamu    ",4,4,5,9
"mcdaniel",7,6,9,9
"pi      ",6,6,6,9
"mturk   ",3,2,2,4
"mturk   ",2,2,5,1
"jmu     ",5,3,5,1
"jmu     ",6,4,5,2
"mturk   ",2,1,1,1
"tamuc   ",3,3,2,1
"mturk   ",9,3,5,9
"mturk   ",5,6,6,5
"mturk   ",6,5,6,5
"tamu    ",5,2,5,3
"brasilia",7,7,8,9
"tamu    ",3,2,2,1
"pi      ",9,4,6,7
"tamu    ",3,3,6,3
"ufl     ",7,6,8,4
"ufl     ",5,3,6,7
"mturk   ",4,1,1,1
"mturk   ",5,2,5,2
"jmu     ",5,3,6,7
"ufl     ",6,5,7,7
"jmu     ",5,7,8,9
"jmu     ",9,6,9,9
"pi      ",5,5,5,5
"mturk   ",7,3,5,2
"brasilia",6,7,4,5
"tamu    ",7,6,7,5
"tamu    ",3,1,3,4
"tamu    ",4,1,3,2
"mturk   ",5,2,3,3
"mturk   ",6,5,1,3
"tamu    ",1,1,7,1
"tamu    ",2,3,2,9
"mturk   ",5,6,5,6
"jmu     ",3,2,4,2
"mturk   ",2,1,5,6
"mturk   ",1,9,1,1
"mturk   ",1,1,1,1
"mturk   ",5,4,5,5
"brasilia",3,2,7,5
"pi      ",1,3,4,5
"mturk   ",5,6,6,6
"tamu    ",1,2,1,4
"tamu    ",5,3,5,4
"pi      ",6,3,4,9
"tamu    ",7,7,9,9
"tamu    ",5,2,9,6
"tamu    ",6,5,6,6
"tamu    ",3,1,9,1
"pi      ",2,7,2,1
"jmu     ",3,1,5,7
"mturk   ",7,6,7,9
"pi      ",3,3,5,9
"pi      ",3,1,3,3
"mturk   ",5,5,6,8
"mturk   ",7,1,4,1
"mturk   ",4,2,5,3
"mturk   ",4,3,7,4
"mturk   ",1,2,5,4
"pi      ",8,7,8,9
"mturk   ",5,2,4,1
"pi      ",7,5,9,9
"tamu    ",4,5,5,9
"tamu    ",7,6,9,6
"tamu    ",9,9,9,9
"mturk   ",5,4,9,9
"tamu    ",3,1,2,2
"tamu    ",2,2,3,2
"tamu    ",5,2,6,3
"mturk   ",4,4,4,4
"mturk   ",5,4,5,3
"ufl     ",3,2,5,5
"ufl     ",6,5,6,3
"ufl     ",1,6,2,1
"mturk   ",2,2,4,2
"ufl     ",5,3,4,8
"mturk   ",1,1,2,1
"pi      ",5,7,9,9
"mturk   ",8,7,9,9
"jmu     ",2,1,3,2
"mturk   ",9,9,9,9
"mturk   ",6,4,6,4
"mturk   ",8,2,7,6
"pi      ",4,3,5,7
"jmu     ",3,2,5,2
"tamu    ",5,6,5,6
"mturk   ",5,3,5,4
"tamu    ",4,4,9,1
"mturk   ",4,5,9,1
"mturk   ",1,1,3,7
"pi      ",3,3,4,6
"wl      ",5,4,5,5
"wl      ",6,5,5,9
"mturk   ",5,3,5,6
"wl      ",3,3,5,4
"wl      ",5,7,7,9
"mturk   ",5,1,5,1
"wl      ",5,3,9,5
"mturk   ",5,1,6,1
"wl      ",2,1,3,2
"wl      ",7,7,5,8
"wl      ",5,5,6,8
"wl      ",6,5,6,7
"mturk   ",2,1,2,5
"wl      ",5,2,5,2
"wl      ",5,5,9,9
"wl      ",5,2,7,5
"mturk   ",5,3,3,6
"wl      ",3,5,6,8
"wl      ",3,2,5,3
"ufl     ",2,2,2,2
"mturk   ",3,9,9,9
"mturk   ",4,2,5,1
"mturk   ",9,9,9,6
"pi      ",2,2,5,3
"tamu    ",3,1,4,1
"tamu    ",5,3,5,5
"tamu    ",2,3,4,3
"tamu    ",7,6,7,9
"tamu    ",3,1,1,1
"tamu    ",1,1,1,1
"mturk   ",4,2,2,5
"mturk   ",1,1,1,1
"jmu     ",5,5,5,4
"mturk   ",5,5,5,5
"jmu     ",7,5,7,4
"mturk   ",5,5,5,4
"jmu     ",5,5,7,8
"pi      ",7,5,5,6
"pi      ",3,2,4,3
"mturk   ",2,1,2,3
"mturk   ",1,1,1,1
"mturk   ",2,1,1,1
"pi      ",5,5,5,3
"pi      ",6,7,8,8
"pi      ",4,4,4,9
"pi      ",1,3,2,1
"jmu     ",2,4,1,3
"pi      ",2,4,4,2
"pi      ",5,5,9,6
"pi      ",5,5,8,9
"pi      ",2,2,2,1
"pi      ",4,3,5,6
"pi      ",5,5,5,6
"pi      ",5,3,5,7
"jmu     ",7,5,4,2
"pi      ",2,2,2,2
"jmu     ",4,1,5,1
"pi      ",3,2,2,1
"jmu     ",3,3,3,5
"pi      ",5,2,8,9
"pi      ",5,5,7,1
"pi      ",5,2,6,2
"jmu     ",2,1,1,1
"pi      ",9,9,8,9
"pi      ",8,5,7,9
"pi      ",2,2,4,3
"ufl     ",6,3,5,5
"ufl     ",3,2,2,3
"tamu    ",3,2,4,2
"pi      ",7,5,7,6
"tamu    ",9,9,9,9
"pi      ",1,1,2,3
"tamu    ",6,6,8,4
"tamu    ",7,7,9,7
"pi      ",5,4,4,6
"tamu    ",4,1,6,7
"tamu    ",4,3,6,3
"pi      ",2,1,5,1
"jmu     ",1,1,2,1
"pi      ",6,6,7,9
"pi      ",4,2,7,7
"ufl     ",5,4,4,8
"tamu    ",2,2,2,2
"tamu    ",6,3,4,4
"pi      ",6,7,7,3
"tamu    ",7,3,6,7
"tamu    ",5,6,7,8
"tamu    ",1,3,5,1
"tamu    ",5,5,5,8
"mturk   ",8,8,5,8
"mturk   ",7,2,5,1
"pi      ",3,3,4,5
"mturk   ",5,5,4,4
"mturk   ",2,2,1,1
"mturk   ",1,1,4,1
"mturk   ",5,1,5,1
"mturk   ",5,1,1,1
"mturk   ",4,1,4,8
"mturk   ",7,6,6,9
"mturk   ",6,6,6,5
"mturk   ",2,1,2,1
"mturk   ",5,6,5,7
"mturk   ",5,2,5,5
"mturk   ",4,1,4,1
"mturk   ",9,6,9,9
"mturk   ",2,2,1,1
"tamu    ",3,2,5,1
"mturk   ",1,1,1,1
"tamu    ",3,1,3,4
"tamu    ",2,2,7,7
"tamu    ",5,2,5,5
"tamu    ",2,2,2,2
"pi      ",5,5,7,9
"mturk   ",5,5,7,1
"pi      ",7,5,7,9
"tamu    ",7,3,9,5
"mturk   ",1,1,1,1
"mturk   ",4,2,3,1
"mturk   ",4,6,8,1
"mturk   ",4,3,5,6
"pi      ",3,3,7,5
"mturk   ",5,3,5,3
"pi      ",5,2,5,3
"tamu    ",2,1,3,2
"tamu    ",5,4,5,8
"tamu    ",2,1,5,2
"ufl     ",5,2,6,2
"ufl     ",2,2,1,6
"mturk   ",1,1,2,1
"mturk   ",3,2,4,1
"mturk   ",3,2,4,7
"pi      ",7,7,7,7
"pi      ",7,5,7,9
"tamu    ",2,2,2,1
"tamu    ",8,3,8,4
"mcdaniel",7,5,7,7
"tamu    ",1,3,1,2
"tamu    ",5,2,7,2
"mturk   ",5,1,7,1
"tamu    ",9,9,9,9
"tamu    ",5,2,4,6
"pi      ",2,3,9,3
"pi      ",5,2,5,7
"mturk   ",7,1,1,1
"wku     ",9,6,9,6
"pi      ",4,1,4,3
"mturk   ",2,1,1,1
"mturk   ",2,1,5,1
"tamu    ",5,5,6,1
"tamu    ",4,2,5,1
"mturk   ",5,5,5,5
"tamu    ",3,3,5,3
"tamu    ",2,2,7,2
"mturk   ",5,3,5,4
"tamu    ",9,5,7,5
"jmu     ",9,9,9,9
"pi      ",5,5,9,6
"mturk   ",2,5,3,5
"mturk   ",6,6,6,7
"mturk   ",7,2,3,2
"wku     ",5,6,5,7
"mturk   ",5,3,5,5
"mturk   ",1,1,1,5
"mturk   ",2,1,1,1
"mturk   ",1,4,4,6
"pi      ",7,7,7,9
"mturk   ",3,1,1,1
"mturk   ",1,1,1,1
"tamu    ",5,5,9,6
"wku     ",4,2,4,4
"tamu    ",7,6,6,9
"tamu    ",5,3,9,9
"mturk   ",3,3,1,1
"mturk   ",2,2,1,1
"pi      ",9,9,9,9
"mturk   ",7,7,9,6
"mturk   ",5,6,7,5
"mturk   ",9,6,7,8
"mturk   ",5,1,5,1
"mturk   ",9,5,7,5
"mturk   ",6,7,6,1
"tamu    ",5,5,5,9
"tamu    ",2,1,1,1
"mturk   ",1,1,1,1
"mturk   ",7,4,7,1
"tamu    ",2,1,2,5
"pi      ",5,2,4,4
"mturk   ",9,9,9,9
"mturk   ",5,3,5,1
"mturk   ",3,2,7,3
"brasilia",7,2,6,4
"mturk   ",1,1,1,1
"mturk   ",2,2,3,1
"mturk   ",9,5,9,9
"pi      ",NA,NA,3,4
"mturk   ",6,5,7,7
"mturk   ",5,5,6,5
"mturk   ",4,2,5,5
"tamu    ",9,7,9,9
"tamu    ",6,2,5,2
"tamu    ",5,4,9,9
"tamu    ",7,5,7,7
"tamu    ",3,4,4,7
"mturk   ",6,4,5,3
"mturk   ",4,6,6,5
"mturk   ",4,1,5,5
"mturk   ",5,3,5,6
"mturk   ",7,5,8,4
"mturk   ",5,5,5,1
"wku     ",7,3,5,5
"mturk   ",4,1,4,1
"mturk   ",5,2,4,1
"mturk   ",6,5,7,4
"mturk   ",7,8,7,8
"mturk   ",7,4,5,3
"mturk   ",7,3,4,1
"pi      ",2,2,3,1
"mturk   ",5,8,4,3
"mturk   ",9,9,9,9
"mturk   ",5,3,5,6
"mturk   ",5,3,5,7
"mturk   ",1,3,3,8
"mturk   ",5,4,5,7
"mturk   ",5,5,7,7
"mturk   ",5,7,7,6
"pi      ",9,6,9,9
"mturk   ",5,5,9,3
"mturk   ",3,2,3,1
"mturk   ",5,3,6,6
"mturk   ",5,5,5,1
"tamu    ",6,3,5,1
"tamu    ",1,1,1,1
"tamu    ",5,4,7,3
"tamu    ",3,2,3,2
"tamu    ",6,6,7,4
"mturk   ",5,5,5,4
"mturk   ",9,4,9,1
"mturk   ",6,5,5,4
"mturk   ",5,1,5,1
"mturk   ",5,2,4,2
"mturk   ",5,4,4,3
"mturk   ",5,3,6,2
"mturk   ",4,1,4,2
"pi      ",2,3,5,2
"mturk   ",1,1,1,5
"tamu    ",4,5,6,7
"tamu    ",3,2,2,8
"tamu    ",5,6,7,8
"mturk   ",5,2,6,1
"tamu    ",5,5,6,7
"jmu     ",3,3,5,1
"tamu    ",6,6,8,9
"tamu    ",1,1,5,2
"mturk   ",5,5,7,6
"mturk   ",3,1,3,1
"mturk   ",5,3,5,4
"mturk   ",5,5,5,1
"mturk   ",4,2,2,2
"mturk   ",2,1,2,7
"mturk   ",7,6,7,8
"jmu     ",5,6,6,4
"pi      ",5,5,4,5
"pi      ",9,7,9,7
"wl      ",5,6,7,5
"wl      ",7,5,5,3
"wl      ",5,3,5,9
"wl      ",7,6,9,9
"wl      ",5,4,5,5
"wl      ",7,5,5,6
"wl      ",4,6,5,8
"wl      ",6,5,9,6
"pi      ",7,8,9,9
"pi      ",3,3,5,7
"pi      ",5,5,5,5
"pi      ",4,4,5,6
"pi      ",4,1,1,5
"pi      ",7,8,8,9
"pi      ",4,6,4,6
"pi      ",1,1,1,1
"pi      ",3,1,5,8
"jmu     ",5,4,5,2
"pi      ",9,5,4,9
"mcdaniel",4,3,3,1
"pi      ",3,2,5,4
"pi      ",2,3,5,5
"pi      ",5,2,5,9
"pi      ",5,6,5,7
"pi      ",6,3,6,4
"pi      ",1,1,1,2
"pi      ",2,5,1,1
"pi      ",5,5,7,8
"pi      ",7,7,9,8
"ufl     ",3,1,6,8
"ufl     ",1,2,3,2
"pi      ",5,3,5,1
"ufl     ",5,2,5,6
"ufl     ",4,2,4,1
"tamu    ",4,6,7,2
"tamu    ",7,9,6,6
"tamu    ",3,7,7,9
"tamu    ",5,4,5,5
"tamu    ",1,1,1,1
"pi      ",2,1,1,2
"pi      ",5,4,5,2
"tamu    ",8,5,8,9
"tamu    ",4,2,3,1
"ufl     ",5,3,5,5
"ufl     ",1,5,8,5
"ufl     ",5,1,5,5
"ufl     ",5,5,6,5
"pi      ",7,4,8,1
"pi      ",7,5,5,8
"tamu    ",5,1,9,5
"tamu    ",9,9,8,9
"tamu    ",5,1,3,3
"tamu    ",2,1,3,3
"pi      ",6,6,9,9
"ufl     ",1,1,1,1
"ufl     ",4,1,5,9
"ufl     ",3,2,4,5
"brasilia",4,1,1,1
"tamu    ",2,1,2,1
"tamu    ",5,4,4,5
"tamu    ",5,1,5,1
"tamu    ",3,1,1,1
"pi      ",3,5,9,9
"pi      ",6,3,4,2
"tamu    ",5,2,4,1
"brasilia",5,6,6,8
"tamu    ",1,3,4,1
"tamu    ",7,4,3,3
"tamu    ",3,1,3,2
"pi      ",5,4,7,6
"pi      ",3,4,6,4
"ufl     ",3,3,5,6
"pi      ",5,4,6,3
"tamu    ",2,1,2,2
"tamu    ",8,5,8,5
"tamu    ",4,3,5,8
"pi      ",5,2,5,1
"pi      ",4,6,4,9
"pi      ",5,5,7,9
"pi      ",3,4,2,2
"tamu    ",4,2,4,2
"tamu    ",3,2,3,1
"tamu    ",5,6,8,9
"brasilia",6,1,6,1
"ufl     ",3,3,4,4
"ufl     ",4,4,4,7
"ufl     ",9,1,5,9
"tamu    ",5,4,5,1
"tamu    ",2,3,3,2
"pi      ",5,5,5,5
"tamu    ",4,5,6,9
"ufl     ",3,2,2,7
"ufl     ",2,2,2,1
"ufl     ",3,2,3,5
