"g","imaginedexplicit1","imaginedexplicit2","imaginedexplicit3","imaginedexplicit4"
"pi      ",5,7,8,8
"pi      ",5,7,7,9
"pi      ",2,3,7,9
"pi      ",5,5,9,9
"pi      ",6,7,8,9
"pi      ",5,6,6,7
"pi      ",6,5,7,7
"pi      ",5,5,5,6
"pi      ",2,1,4,3
"pi      ",7,6,8,9
"pi      ",5,9,5,3
"abington",9,4,6,9
"abington",5,5,1,5
"abington",5,3,5,1
"abington",4,2,5,7
"abington",3,1,1,1
"abington",3,2,5,9
"abington",5,5,5,1
"abington",5,1,3,3
"abington",9,8,8,7
"pi      ",6,3,4,5
"pi      ",4,3,5,7
"wku     ",5,5,7,9
"pi      ",3,4,6,7
"pi      ",5,4,5,7
"wku     ",2,3,4,2
"pi      ",4,3,5,7
"pi      ",4,1,1,1
"pi      ",2,1,2,8
"pi      ",2,2,2,2
"mcdaniel",5,3,5,8
"brasilia",9,9,9,6
"brasilia",7,2,7,4
"brasilia",5,5,3,6
"brasilia",1,5,5,9
"brasilia",1,1,4,5
"brasilia",6,7,9,7
"brasilia",4,2,7,2
"brasilia",5,1,9,8
"brasilia",7,7,7,7
"brasilia",5,8,5,9
"brasilia",3,3,3,1
"brasilia",5,5,9,5
"brasilia",8,6,5,7
"wku     ",1,1,1,1
"wku     ",6,5,7,6
"wku     ",5,3,5,4
"wku     ",5,2,5,7
"wku     ",3,4,9,8
"brasilia",9,9,9,9
"brasilia",5,7,5,5
"brasilia",2,3,5,3
"brasilia",5,4,4,2
"brasilia",9,7,8,7
"brasilia",5,2,4,1
"brasilia",6,5,5,8
"brasilia",4,5,5,5
"brasilia",3,3,7,9
"brasilia",9,5,9,7
"brasilia",1,1,1,1
"brasilia",6,6,6,9
"brasilia",5,7,7,2
"brasilia",5,4,6,8
"brasilia",4,5,4,7
"brasilia",5,3,5,3
"brasilia",5,5,6,9
"brasilia",5,6,9,2
"brasilia",1,1,1,1
"brasilia",5,5,8,6
"brasilia",6,7,7,9
"brasilia",2,1,3,2
"brasilia",9,6,5,3
"brasilia",5,3,5,7
"brasilia",1,1,1,1
"brasilia",1,1,1,1
"brasilia",9,9,9,9
"brasilia",1,3,6,4
"brasilia",7,6,8,7
"brasilia",2,4,4,2
"brasilia",5,5,6,7
"brasilia",7,7,6,7
"brasilia",5,7,9,9
"brasilia",7,7,9,7
"wku     ",7,4,7,5
"brasilia",5,5,5,5
"brasilia",1,4,7,2
"brasilia",5,5,6,8
"brasilia",1,3,3,2
"brasilia",1,9,5,9
"brasilia",2,4,3,3
"brasilia",5,5,8,7
"brasilia",8,8,6,6
"brasilia",3,2,2,2
"brasilia",5,3,3,7
"brasilia",9,9,9,9
"brasilia",9,9,9,9
"brasilia",5,5,4,7
"brasilia",9,7,9,9
"pi      ",2,2,3,5
"pi      ",6,1,6,3
"pi      ",4,3,1,9
"pi      ",5,3,7,9
"pi      ",6,4,6,9
"pi      ",5,4,9,6
"pi      ",9,9,9,9
"pi      ",4,5,5,6
"pi      ",5,3,5,3
"pi      ",2,2,5,5
"pi      ",2,4,5,5
"mcdaniel",5,2,5,7
"mcdaniel",3,2,7,6
"pi      ",1,1,1,1
"pi      ",6,7,9,9
"pi      ",5,5,4,7
"pi      ",5,5,6,7
"pi      ",5,6,5,2
"pi      ",4,1,5,5
"wl      ",5,2,5,7
"wl      ",5,4,5,7
"wl      ",6,4,8,2
"mturk   ",5,5,6,4
"mturk   ",1,1,1,1
"mturk   ",6,1,2,1
"mturk   ",3,1,1,1
"mturk   ",2,2,5,1
"mturk   ",7,5,5,9
"mturk   ",5,4,5,4
"mturk   ",5,4,5,6
"mturk   ",4,2,5,6
"pi      ",2,2,2,2
"mturk   ",6,2,3,2
"mturk   ",5,1,1,4
"mturk   ",3,1,3,1
"mturk   ",5,2,7,6
"mturk   ",1,1,1,1
"mturk   ",5,2,2,2
"mturk   ",9,2,5,1
"mturk   ",9,8,9,9
"mturk   ",4,3,4,1
"mturk   ",7,5,7,5
"mturk   ",4,2,5,3
"mturk   ",4,2,3,2
"mturk   ",9,9,7,9
"mturk   ",5,4,4,5
"mturk   ",2,1,2,1
"mturk   ",2,1,3,1
"mturk   ",4,1,3,1
"mturk   ",9,8,9,7
"mturk   ",6,4,4,1
"mturk   ",7,6,7,3
"mturk   ",7,3,3,1
"mturk   ",5,1,6,5
"mturk   ",4,7,4,6
"mturk   ",5,3,6,1
"mturk   ",9,9,9,9
"mturk   ",7,5,7,6
"mturk   ",9,5,7,6
"mturk   ",5,2,2,5
"mturk   ",9,9,9,5
"mturk   ",9,9,9,9
"mturk   ",4,3,4,5
"mturk   ",7,3,5,6
"mturk   ",4,4,4,4
"mturk   ",2,2,2,1
"mturk   ",7,4,6,5
"mturk   ",7,1,7,1
"mturk   ",5,1,5,8
"mturk   ",4,2,5,2
"mturk   ",5,2,5,1
"mturk   ",6,2,2,4
"mturk   ",6,5,6,6
"mturk   ",4,4,6,2
"mturk   ",2,5,6,7
"mturk   ",2,2,5,9
"mturk   ",6,6,7,3
"mturk   ",5,6,6,3
"mturk   ",4,3,3,2
"mturk   ",2,2,2,1
"mturk   ",3,4,4,4
"mturk   ",9,9,7,9
"mturk   ",3,3,4,5
"mturk   ",5,5,5,5
"mturk   ",7,3,6,5
"mturk   ",9,9,9,9
"mturk   ",7,6,6,5
"mturk   ",9,8,7,3
"mturk   ",4,1,6,1
"mturk   ",3,3,5,4
"mturk   ",4,6,6,4
"mturk   ",1,1,1,1
"mturk   ",4,5,5,7
"mturk   ",4,2,3,2
"mturk   ",2,2,2,1
"mturk   ",6,5,5,4
"mturk   ",6,3,4,3
"mturk   ",7,4,5,4
"mturk   ",7,8,6,8
"mturk   ",1,1,5,1
"mturk   ",5,3,4,1
"mturk   ",2,4,4,2
"mturk   ",6,1,4,6
"mturk   ",7,7,7,2
"mturk   ",5,4,6,4
"mturk   ",5,3,6,1
"mturk   ",6,7,7,7
"mturk   ",4,1,5,1
"mturk   ",4,4,8,8
"mturk   ",9,9,8,9
"mturk   ",4,2,4,1
"mturk   ",3,2,3,3
"mturk   ",9,9,7,6
"pi      ",2,1,3,2
"mturk   ",9,9,9,9
"pi      ",4,2,4,8
"mturk   ",7,4,7,5
"wl      ",5,4,7,9
"pi      ",5,7,7,9
"pi      ",7,7,7,9
"pi      ",2,4,3,4
"mturk   ",3,4,3,5
"mturk   ",3,2,4,4
"mturk   ",5,6,6,6
"mturk   ",5,5,3,6
"mturk   ",1,4,1,7
"mturk   ",7,6,8,6
"mturk   ",5,6,6,6
"pi      ",4,3,9,3
"brasilia",9,7,9,7
"mcdaniel",6,4,6,7
"tamuc   ",3,2,5,2
"pi      ",1,3,4,4
"pi      ",5,1,5,5
"pi      ",3,6,1,9
"pi      ",9,6,7,7
"pi      ",1,1,1,1
"pi      ",9,1,9,9
"pi      ",3,1,2,6
