"g","van.p1.2_1","van.p1.2_2","van.p1.2_3","van.p1.2_4","van.p1.2_5","van.p1.2_6"
"toronto",1,9,1,1,1,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,9,1,9
"toronto",1,9,9,6,5,8
"toronto",2,9,9,9,4,2
"toronto",1,9,9,7,1,1
"toronto",1,9,9,4,3,5
"toronto",3,9,9,5,4,8
"toronto",1,9,9,5,4,4
"toronto",1,3,3,4,5,4
"toronto",1,9,9,1,5,9
"ubctab",3,6,9,4,4,9
"ubctab",1,9,9,5,9,9
"ubctab",5,5,5,4,5,6
"toronto",1,8,8,6,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"ubctab",1,6,9,4,5,9
"toronto",1,9,7,4,6,7
"toronto",1,9,9,5,5,9
"toronto",3,6,9,8,3,4
"ubctab",1,9,9,5,5,9
"toronto",2,9,9,9,2,1
"ubctab",1,9,9,6,4,3
"ubc",1,9,9,6,1,1
"ubctab",1,9,9,4,5,9
"toronto",2,8,9,6,3,6
"toronto",2,9,8,4,5,9
"toronto",6,9,9,9,1,1
"toronto",1,9,9,4,5,9
"toronto",1,8,9,9,1,2
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,8,9,5,5,9
"toronto",1,9,8,4,5,8
"toronto",1,9,9,5,5,9
"toronto",1,9,9,1,5,9
"toronto",5,9,9,4,1,1
"toronto",6,6,9,9,7,7
"toronto",1,8,9,4,5,9
"toronto",1,9,9,9,1,1
"toronto",1,9,9,5,5,9
"toronto",5,9,6,3,4,5
"toronto",2,8,9,4,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,1,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,5,5,7
"toronto",2,9,9,5,5,7
"toronto",1,9,8,4,5,8
"toronto",1,9,9,4,5,6
"toronto",5,6,5,6,4,7
"toronto",1,9,9,5,5,9
"toronto",1,8,9,5,5,9
"toronto",1,9,9,4,1,9
"toronto",1,9,9,9,1,1
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,4,9
"toronto",1,9,9,5,5,9
"ubctab",1,9,9,5,5,9
"ubctab",1,9,9,4,5,9
"ubctab",1,9,9,9,1,1
"ubctab",1,9,9,9,1,1
"toronto",1,3,8,4,3,9
"toronto",1,4,9,4,5,8
"toronto",1,9,1,5,5,9
"toronto",1,9,8,5,5,9
"toronto",1,9,6,2,4,6
"toronto",1,9,9,4,5,9
"toronto",1,9,9,5,4,3
"toronto",2,9,8,5,5,8
"toronto",1,8,9,8,4,6
"toronto",1,9,9,4,5,9
"toronto",1,9,1,1,1,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",4,9,8,5,5,8
"toronto",2,8,7,4,5,9
"toronto",1,9,1,4,5,9
"toronto",1,9,1,1,9,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,8,9,4,5,9
"toronto",1,5,9,5,2,4
"toronto",3,7,9,5,3,4
"ubctab",1,9,9,5,4,9
"toronto",3,9,9,6,3,7
"ubctab",1,9,9,5,5,9
"toronto",2,9,9,7,1,1
"toronto",1,9,9,5,5,9
"toronto",1,9,9,1,5,7
"toronto",1,9,9,2,5,9
"toronto",1,8,9,5,5,9
"toronto",1,9,9,5,4,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,1,5,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,4,5,9
"toronto",1,5,5,5,4,4
"toronto",2,9,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",3,9,8,4,5,6
"toronto",1,9,9,6,3,6
"toronto",1,9,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",2,3,4,5,6,7
"toronto",4,7,9,5,8,9
"toronto",5,3,6,5,4,5
"toronto",2,5,8,8,5,3
"toronto",1,8,9,5,5,9
"toronto",1,9,9,4,5,9
"toronto",1,8,9,4,5,8
"toronto",1,8,9,4,5,9
"toronto",2,9,1,1,1,1
"toronto",1,9,9,9,1,1
"toronto",1,7,9,4,5,9
"toronto",1,9,9,9,1,1
"toronto",1,9,9,3,5,9
"toronto",3,9,8,7,5,3
"toronto",3,4,9,9,1,1
"toronto",1,9,9,5,2,2
"toronto",1,9,9,5,1,9
"toronto",1,9,9,4,5,9
"toronto",1,9,9,5,5,9
"toronto",1,9,9,5,5,9
"toronto",1,8,9,4,5,9
"toronto",2,9,8,5,4,7
"toronto",3,6,9,7,4,7
"toronto",1,9,9,4,5,9
"toronto",2,5,4,8,3,5
"toronto",2,8,8,4,3,8
