"g","nfc_01","nfc_02","nfc_03","nfc_04","nfc_05","nfc_06"
"IthacaCollege",4,2,2,4,5,1
"IthacaCollege",4,2,2,4,2,2
"IthacaCollege",3,2,3,4,3,2
"IthacaCollege",3,2,3,3,4,2
"IthacaCollege",2,4,4,2,1,4
"IthacaCollege",3,4,2,4,4,5
"IthacaCollege",4,4,2,4,5,1
"IthacaCollege",2,4,3,2,2,5
"IthacaCollege",2,1,2,3,3,2
"IthacaCollege",4,2,3,4,4,4
"IthacaCollege",3,2,2,3,4,2
"IthacaCollege",3,2,5,5,5,1
"IthacaCollege",1,2,3,4,2,4
"IthacaCollege",2,2,2,4,4,2
"IthacaCollege",1,3,3,3,3,3
"IthacaCollege",2,2,4,2,2,3
"IthacaCollege",2,2,3,4,5,3
"IthacaCollege",2,3,3,2,4,2
"IthacaCollege",1,4,4,4,4,4
"IthacaCollege",3,1,3,3,5,3
"IthacaCollege",2,4,4,4,4,4
"IthacaCollege",4,2,2,4,4,3
"IthacaCollege",4,2,4,3,4,2
"IthacaCollege",5,1,2,4,4,2
"IthacaCollege",4,4,5,4,3,2
"IthacaCollege",2,3,5,2,4,4
"IthacaCollege",2,2,4,4,4,3
"IthacaCollege",1,2,1,4,2,3
"IthacaCollege",4,2,2,3,4,1
"IthacaCollege",4,4,4,3,2,3
"IthacaCollege",3,4,4,4,4,3
"IthacaCollege",2,2,2,3,5,3
"IthacaCollege",2,1,2,2,4,4
"IthacaCollege",3,2,2,3,4,2
"IthacaCollege",2,4,4,2,4,5
"IthacaCollege",3,3,3,2,2,4
"IthacaCollege",3,2,3,2,3,1
"IthacaCollege",4,1,4,3,5,3
"IthacaCollege",2,3,3,3,3,3
"IthacaCollege",4,3,3,3,3,3
"IthacaCollege",4,2,3,3,5,1
"IthacaCollege",2,2,2,3,4,3
"IthacaCollege",4,2,2,4,4,2
"IthacaCollege",4,1,3,4,4,1
"MiamiUniversity",3,2,5,2,2,2
"MiamiUniversity",2,4,4,3,4,5
"MiamiUniversity",3,3,4,2,2,3
"MiamiUniversity",5,1,1,5,5,1
"MiamiUniversity",3,2,3,3,4,3
"MiamiUniversity",2,4,2,3,4,3
"MiamiUniversity",4,4,2,3,4,2
"MiamiUniversity",4,2,3,3,4,4
"MiamiUniversity",3,2,1,4,3,2
"MiamiUniversity",3,4,4,2,3,3
"MiamiUniversity",4,2,2,3,3,2
"MiamiUniversity",2,2,4,4,3,4
"MiamiUniversity",2,2,4,3,4,4
"MiamiUniversity",5,3,5,3,4,2
"MiamiUniversity",3,2,4,3,2,2
"MiamiUniversity",2,2,4,4,2,3
"MiamiUniversity",2,3,4,4,4,2
"MiamiUniversity",4,2,3,2,2,1
"MiamiUniversity",2,2,4,4,4,2
"MiamiUniversity",3,4,4,2,4,2
"MiamiUniversity",4,2,2,3,2,2
"MiamiUniversity",2,4,4,2,2,3
"MiamiUniversity",4,2,3,4,5,2
"MiamiUniversity",3,4,4,3,4,3
"MiamiUniversity",2,4,3,4,4,2
"MiamiUniversity",1,3,5,3,5,1
"MiamiUniversity",2,2,2,3,3,3
"MiamiUniversity",3,2,2,3,4,3
"MiamiUniversity",3,2,4,4,5,2
"MiamiUniversity",3,3,4,2,3,4
"MiamiUniversity",3,4,4,4,4,4
"MiamiUniversity",3,2,3,4,5,2
"MiamiUniversity",3,2,2,3,4,2
"MiamiUniversity",2,2,3,3,4,1
"MiamiUniversity",3,2,4,4,2,2
"MiamiUniversity",2,2,4,3,4,2
"MiamiUniversity",3,2,2,3,3,2
"MiamiUniversity",3,3,4,1,3,2
"MiamiUniversity",2,3,5,3,2,2
"MiamiUniversity",3,2,2,4,4,2
"MiamiUniversity",4,2,2,3,3,1
"MiamiUniversity",4,2,2,4,4,4
"MiamiUniversity",3,2,4,3,3,4
"MiamiUniversity",4,3,4,3,3,3
"MiamiUniversity",1,1,1,1,1,1
"MiamiUniversity",3,2,4,3,3,5
"MiamiUniversity",3,2,4,3,3,3
"MiamiUniversity",1,3,3,3,3,3
"MiamiUniversity",4,1,4,5,5,3
"MiamiUniversity",3,4,4,1,2,3
"MiamiUniversity",4,3,5,2,3,3
"MiamiUniversity",3,2,4,3,3,4
"MiamiUniversity",4,4,5,3,2,2
"MiamiUniversity",4,2,2,2,4,3
"MiamiUniversity",4,2,4,2,2,2
"MiamiUniversity",4,1,3,3,4,4
"MiamiUniversity",3,1,4,4,3,3
"MiamiUniversity",1,1,4,1,2,5
"MiamiUniversity",3,3,3,4,2,2
"MiamiUniversity",2,2,4,4,5,1
"MiamiUniversity",4,2,4,3,3,1
"MiamiUniversity",2,4,2,4,4,4
"MiamiUniversity",4,1,2,4,4,1
"MiamiUniversity",2,3,3,4,3,3
"MiamiUniversity",3,1,3,4,4,2
"MiamiUniversity",3,2,5,2,3,4
"MiamiUniversity",4,4,3,3,3,3
"MiamiUniversity",2,3,4,3,2,4
"MiamiUniversity",2,2,4,2,2,4
"MiamiUniversity",4,3,4,2,2,4
"MiamiUniversity",2,4,3,2,4,4
"MiamiUniversity",4,1,4,3,4,2
"MiamiUniversity",4,4,4,3,2,3
"MiamiUniversity",2,2,3,3,3,3
"MiamiUniversity",4,3,3,3,4,4
"MiamiUniversity",2,3,2,2,2,2
"MiamiUniversity",3,4,4,2,2,2
"MiamiUniversity",4,4,3,3,4,2
"MiamiUniversity",3,2,3,3,4,3
"MiamiUniversity",4,4,2,3,4,1
"MiamiUniversity",4,4,3,3,3,4
"MiamiUniversity",4,2,4,4,4,4
"MiamiUniversity",5,5,5,5,5,2
"MiamiUniversity",5,5,5,5,5,5
"MiamiUniversity",3,2,4,4,4,2
"MiamiUniversity",2,2,4,2,4,4
"MiamiUniversity",3,4,4,4,5,3
"MiamiUniversity",2,2,2,2,2,4
"MiamiUniversity",4,2,3,3,4,2
"MiamiUniversity",4,3,2,4,3,3
"MiamiUniversity",3,4,4,4,4,4
"MiamiUniversity",2,2,2,4,4,3
"MiamiUniversity",3,4,3,3,3,4
"MichiganStateUniversity",4,1,2,4,5,2
"MichiganStateUniversity",3,4,3,3,2,4
"MichiganStateUniversity",3,4,4,3,5,5
"MichiganStateUniversity",3,2,4,4,4,2
"MichiganStateUniversity",2,4,2,2,5,1
"MichiganStateUniversity",4,2,4,4,3,2
"MichiganStateUniversity",2,4,4,3,2,2
"MichiganStateUniversity",4,2,4,2,4,4
"MichiganStateUniversity",2,2,2,3,4,2
"MichiganStateUniversity",3,2,4,3,3,2
"MichiganStateUniversity",3,3,4,2,1,3
"MichiganStateUniversity",4,2,5,3,3,2
"MichiganStateUniversity",3,2,4,4,4,3
"MichiganStateUniversity",4,2,4,3,3,3
"MichiganStateUniversity",3,4,4,2,3,2
"MichiganStateUniversity",3,2,4,3,2,3
"MichiganStateUniversity",4,4,4,2,4,4
"MichiganStateUniversity",1,1,4,2,4,3
"MichiganStateUniversity",4,3,4,2,4,2
"MichiganStateUniversity",4,1,5,5,5,1
"MichiganStateUniversity",4,2,4,3,4,3
"MichiganStateUniversity",2,2,3,3,4,2
"MichiganStateUniversity",2,2,2,2,4,2
"MichiganStateUniversity",3,2,2,4,4,3
"MichiganStateUniversity",2,3,3,3,3,3
"MichiganStateUniversity",4,2,1,4,4,1
"MichiganStateUniversity",4,3,3,2,3,2
"MichiganStateUniversity",3,2,2,2,3,4
"MichiganStateUniversity",2,4,4,3,3,2
"MichiganStateUniversity",3,2,2,3,4,2
"MichiganStateUniversity",2,3,4,4,4,2
"MichiganStateUniversity",1,4,5,3,3,4
"MichiganStateUniversity",3,2,2,4,3,3
"MichiganStateUniversity",4,2,4,3,4,4
"MichiganStateUniversity",2,3,4,3,2,3
"MichiganStateUniversity",3,1,4,1,4,2
"MichiganStateUniversity",2,4,2,3,2,2
"MichiganStateUniversity",4,2,2,4,4,2
"MichiganStateUniversity",2,4,4,2,2,2
"MichiganStateUniversity",4,4,2,4,2,2
"MichiganStateUniversity",2,4,3,2,2,3
"MichiganStateUniversity",2,4,5,1,2,4
"MichiganStateUniversity",3,2,3,1,3,3
"MichiganStateUniversity",4,2,5,4,5,2
"MichiganStateUniversity",1,3,4,3,4,3
"MichiganStateUniversity",1,4,5,1,1,3
"MichiganStateUniversity",3,4,5,2,5,2
"MichiganStateUniversity",4,2,4,2,4,2
"MichiganStateUniversity",2,4,4,2,2,4
"MichiganStateUniversity",2,3,3,4,5,3
"MichiganStateUniversity",3,1,2,4,4,2
"MichiganStateUniversity",2,3,4,2,3,4
"MichiganStateUniversity",4,3,4,2,3,3
"MichiganStateUniversity",3,2,3,3,3,3
"MichiganStateUniversity",3,2,3,3,3,2
"MichiganStateUniversity",2,2,4,3,4,2
"MichiganStateUniversity",3,5,5,5,5,5
"MichiganStateUniversity",2,3,3,2,3,4
"MichiganStateUniversity",1,2,4,1,2,2
"MichiganStateUniversity",4,3,2,3,2,3
"MichiganStateUniversity",3,1,2,2,4,1
