"g","zhon.dv.1_2","zhon.dv.1_3","zhon.dv.1_7","zhon.dv.1_8","zhon.dv.1_10"
"tilburgcaf",3,3,2,2,5
"tilburgcaf",1,4,3,1,4
"tilburgcaf",5,5,3,5,5
"radboud",6,2,4,3,5
"tilburgcaf",2,1,1,1,1
"radboud",6,5,5,6,7
"tilburgcaf",6,6,2,2,4
"tilburgcaf",6,6,3,3,5
"tilburgcaf",1,4,1,1,1
"tilburgcaf",4,5,5,7,6
"radboud",5,4,1,1,3
"tilburgcaf",4,4,3,3,3
"tilburgcaf",6,6,2,1,4
"tilburgcaf",5,3,5,3,6
"tilburgcaf",4,5,1,1,1
"tilburgcaf",5,4,3,2,5
"tilburgcaf",7,3,2,3,2
"tilburgcaf",5,4,3,3,4
"radboud",6,5,5,7,6
"radboud",6,2,1,1,2
"radboud",7,7,5,6,5
"aus2",5,7,4,1,6
"aus2",5,7,4,2,7
"aus2",4,2,5,4,6
"aus2",1,7,7,1,6
"aus2",4,4,4,1,1
"aus2",4,3,3,1,2
"aus2",3,4,2,1,3
"aus2",7,7,3,2,4
"aus2",3,1,1,1,1
"aus2",7,1,3,2,6
"aus2",5,5,1,1,3
"aus2",2,1,1,3,4
"aus2",7,4,4,4,6
"aus2",1,2,1,1,1
"aus2",2,2,2,2,6
"aus2",4,2,1,1,6
"aus2",2,4,2,2,4
"aus2",4,2,4,1,3
"aus2",7,7,5,5,7
"aus2",7,5,2,2,5
"aus2",4,3,1,3,3
"aus2",7,4,7,3,7
"aus2",7,7,2,2,6
"aus2",1,1,1,1,1
"aus2",1,7,4,1,7
"aus2",4,4,3,3,3
"aus2",5,4,5,2,6
"aus2",7,7,6,4,7
"aus2",1,4,1,3,4
"aus2",2,4,5,2,6
"aus2",7,7,3,4,2
"aus2",3,3,3,1,2
"aus2",7,7,2,5,6
"aus2",6,5,2,4,5
"aus2",2,4,3,1,3
"aus2",1,1,2,1,6
"aus2",3,5,2,1,6
"aus2",1,3,4,2,3
"aus2",4,4,6,4,6
"aus2",5,5,6,1,1
"aus2",3,5,1,3,6
"aus2",7,1,6,7,7
"aus2",4,5,4,4,5
"aus2",4,6,3,4,2
"aus2",7,7,3,3,6
"aus2",4,4,1,1,1
"aus2",1,3,2,2,4
"aus2",4,3,2,4,5
"aus2",3,2,2,1,6
"aus2",7,7,3,6,7
"aus2",5,7,6,6,6
"aus2",5,5,5,3,5
"aus2",1,1,5,4,7
"aus2",6,7,2,1,4
"aus2",5,4,1,3,7
"aus2",4,4,5,6,7
"aus2",6,7,2,3,4
"aus2",7,7,3,6,7
"aus2",7,7,6,6,7
"aus2",1,1,1,1,1
"aus2",7,7,5,3,6
"aus2",4,5,4,4,7
"aus2",1,6,2,1,5
"aus2",1,3,1,1,1
"aus2",5,7,3,3,7
"aus2",3,5,1,4,5
"aus2",2,2,1,6,7
"aus2",5,3,2,3,4
