"g","and1.3_1","and1.3_2","and1.3_3","and1.3_4","and1.3_5"
"hkust",3,3,3,2,5
"hkust",4,4,4,4,1
"hkusttab",7,7,7,7,7
"hkusttab",5,5,5,3,2
"hkusttab",2,1,2,3,2
"hkusttab",4,3,5,4,5
"hkusttab",5,5,5,4,6
"hkusttab",4,3,4,5,5
"hkusttab",3,5,3,3,2
"hkusttab",5,6,6,7,6
"hkusttab",5,5,4,3,6
"hkusttab",6,7,7,7,3
"hkusttab",4,6,5,6,3
"castab",5,4,6,5,2
"castab",5,5,6,7,6
"castab",1,3,2,2,1
"cas",3,4,4,3,3
"castab",5,3,3,4,2
"cas",5,4,5,5,5
"cas",2,2,4,3,4
"castab",5,2,5,3,3
"castab",2,2,2,2,1
"cas",1,1,3,2,1
"cas",5,4,6,4,5
"castab",6,6,6,6,6
"cas",1,1,1,1,1
"castab",2,3,3,2,1
"cas",4,5,5,4,5
"cas",6,5,5,5,4
"castab",4,4,5,3,2
"castab",1,1,6,7,7
"cas",5,3,5,2,3
"castab",2,4,2,2,5
"castab",2,3,5,2,2
"cas",4,3,4,5,1
"castab",3,3,4,5,4
"cas",4,2,5,2,2
"cas",2,2,2,2,1
"cas",1,1,2,2,3
"cas",3,4,4,5,2
"cas",3,4,5,4,3
"cas",5,4,4,5,5
"cas",2,4,5,3,6
"cas",2,5,3,5,1
"castab",3,2,3,3,2
"cas",5,5,5,3,3
"castab",5,6,7,7,6
"cas",4,5,4,5,3
"castab",3,4,5,5,4
"castab",4,4,5,4,3
"castab",2,4,4,6,2
"cas",6,3,5,4,3
"castab",3,2,5,5,2
"castab",2,4,5,4,6
"cas",1,1,6,4,1
"castab",3,4,3,3,1
"castab",3,3,4,3,3
"cas",3,2,6,2,3
"cas",2,2,3,4,2
"castab",2,2,5,2,1
"castab",3,3,3,4,3
"cas",6,5,6,6,6
"castab",4,4,6,6,2
"castab",3,4,5,6,6
"cas",2,4,5,1,1
"cas",2,1,2,2,1
"cas",2,3,2,1,1
"castab",2,1,2,2,1
"cas",1,4,4,1,1
"cas",5,2,6,7,6
"cas",3,2,2,5,3
"zhejiang",1,1,2,1,1
"zhejiang",1,2,2,5,1
"zhejiang",3,4,5,5,3
"zhejiang",6,2,6,2,3
"zhejiang",3,3,3,3,5
"zhejiang",2,1,2,1,2
"zhejiang",2,4,6,2,2
"zhejiang",2,2,5,2,1
"zhejiang",6,5,5,5,3
"zhejiang",5,4,5,3,6
"zhejiang",2,3,4,2,1
"zhejiang",4,3,5,2,5
"zhejiang",3,4,5,4,1
"zhejiang",6,6,6,6,6
"zhejiang",5,5,4,3,2
"zhejiang",3,4,3,3,3
"zhejiang",2,5,6,2,1
"zhejiang",4,5,5,4,4
"zhejiang",5,3,5,4,3
"zhejiang",4,6,6,5,5
"zhejiang",2,2,3,2,4
"zhejiang",6,6,6,5,5
"zhejiang",6,6,6,6,6
"zhejiang",5,4,6,4,3
"zhejiang",7,4,7,5,7
"zhejiang",4,6,5,5,4
"zhejiang",4,3,5,1,2
"zhejiang",6,6,7,2,5
"zhejiang",3,5,3,1,1
"zhejiang",5,5,6,6,3
"zhejiang",5,5,6,4,3
"zhejiang",2,2,2,2,2
"zhejiang",4,4,5,6,3
"zhejiang",2,1,2,5,2
"zhejiang",5,5,5,5,6
"zhejiang",6,6,7,7,6
"zhejiang",4,5,5,5,5
"zhejiang",3,2,4,2,5
"zhejiang",6,6,5,2,1
"zhejiang",4,4,5,4,5
"hunancomp",1,3,1,4,1
"hunancomp",5,4,6,5,2
"hunancomp",4,5,5,5,5
"hunancomp",4,4,5,3,1
"hunancomp",5,5,5,5,2
"hunancomp",3,3,3,3,3
"hunancomp",4,2,7,6,5
"hunancomp",4,3,5,6,3
"hunancomp",4,4,6,5,4
"hunancomp",4,4,6,3,3
"hunancomp",5,5,6,5,3
"hunancomp",6,5,4,4,3
"hunancomp",2,1,3,1,1
"hunancomp",3,5,3,3,5
"hunancomp",3,4,5,3,4
"hunancomp",2,4,2,1,1
"hunancomp",2,1,3,1,2
"hunancomp",4,4,6,4,6
"hunancomp",1,1,4,1,2
"hunancomp",4,3,5,4,7
"hunancomp",2,1,5,2,5
"hunancomp",2,1,2,1,2
"hunancomp",4,4,4,6,3
"hunancomp",2,2,6,1,6
"hunancomp",6,6,6,4,6
"hunancomp",2,2,3,2,1
"hunancomp",5,5,6,5,6
"hunancomp",2,2,2,2,6
"hunancomp",5,4,4,2,4
"hunancomp",3,2,4,6,1
"hunancomp",3,1,4,4,1
"hunancomp",3,3,3,2,6
"hunancomp",5,3,3,1,2
"hunancomp",4,4,4,4,4
"hunancomp",3,3,3,2,1
"hunancomp",5,4,4,3,1
"hunancomp",1,1,1,1,1
"hunancomp",2,2,6,4,3
"hunancomp",6,6,6,6,6
"hunancomp",4,4,4,4,4
"hunancomp",5,1,6,2,6
"zhejiang",5,4,6,4,3
"hunancomp",2,3,3,3,1
"hunancomp",4,4,4,4,4
"hunancomp",3,4,4,2,2
"hunancomp",5,5,4,6,3
"hunancomp",2,2,5,2,3
"hunancomp",3,3,3,2,3
"hunancomp",4,4,4,2,4
"hunancomp",3,4,3,4,6
"hunancomp",2,3,4,2,2
"hunancomp",2,4,3,2,2
"hunancomp",2,1,4,2,1
"hunancomp",6,3,6,2,7
"hunancomp",4,4,5,5,4
"hunancomp",6,6,6,2,1
"hunancomp",4,4,4,5,2
"hunancomp",4,3,3,6,1
"hunancomp",4,2,4,4,2
"hunancomp",1,2,4,2,1
"hunancomp",3,5,4,2,1
"hunancomp",5,5,5,5,5
"hunancomp",2,2,6,5,5
"hunancomp",5,4,5,6,4
"hunancomp",5,5,6,4,3
"hunancomp",4,4,2,2,4
"hunancomp",5,3,3,2,2
"hunancomp",4,2,3,5,2
"hunancomp",3,3,5,3,3
"hunancomp",5,5,6,6,6
"hunancomp",6,5,4,2,4
"hunancomp",5,3,6,3,5
"hunancomp",5,3,5,2,4
"henan",1,2,4,7,1
"henan",2,1,3,1,2
"henan",6,2,6,3,3
"henan",3,3,3,3,1
"henan",5,3,3,2,5
"henan",2,1,4,1,3
"henan",4,3,5,3,3
"zhejiang",1,4,4,1,1
"purkyne",2,4,5,3,2
"purkyne",4,4,4,5,3
"purkyne",4,3,5,5,1
"purkyne",3,6,6,6,5
"purkyne",3,4,5,5,3
"purkyne",3,5,6,5,5
"purkyne",3,6,6,5,7
"purkyne",1,5,1,1,1
"purkyne",3,4,4,3,3
"purkyne",4,6,5,6,3
"purkyne",6,6,6,5,5
"purkyne",7,5,5,4,4
"purkyne",6,6,4,5,4
"purkyne",3,3,4,6,1
"purkyne",5,6,6,3,7
"purkyne",3,4,5,6,7
"purkyne",3,2,5,4,3
"purkyne",3,6,6,5,2
"purkyne",4,4,3,5,4
"purkyne",4,5,6,3,3
"purkyne",5,2,5,4,1
"purkyne",4,4,3,3,1
"purkyne",3,3,5,5,3
"purkyne",6,6,7,2,7
"purkyne",2,5,5,5,1
"purkyne",2,6,5,3,2
"purkyne",3,3,5,4,1
"purkyne",6,7,7,5,6
"purkyne",1,3,3,1,1
"purkyne",6,6,6,2,6
"purkyne",5,5,5,5,4
"purkyne",3,4,6,5,5
"purkyne",6,6,6,4,6
"purkyne",1,4,5,5,3
"purkyne",2,4,3,5,2
"purkyne",3,5,4,3,3
"purkyne",5,5,6,6,3
"purkyne",4,6,5,5,4
"purkyne",6,6,7,5,3
"purkyne",3,3,4,5,2
"purkyne",3,7,5,3,2
"purkyne",3,5,7,3,1
"purkyne",5,5,5,6,4
"purkyne",6,6,6,5,3
"purkyne",4,6,5,5,1
"purkyne",6,5,6,5,3
"purkyne",6,6,7,6,6
"purkyne",5,5,4,5,3
"purkyne",3,6,4,3,3
"purkyne",6,6,7,4,5
"purkyne",3,2,2,4,2
"purkyne",4,5,5,3,7
"purkyne",4,5,5,5,5
"purkyne",3,5,5,5,2
"purkyne",5,5,5,6,3
"purkyne",4,5,5,7,2
"purkyne",5,5,7,5,6
"purkyne",2,1,3,5,3
"purkyne",6,3,5,5,5
"purkyne",6,7,7,5,7
"purkyne",4,5,6,6,3
"purkyne",4,4,5,5,4
"purkyne",6,4,6,5,6
"purkyne",2,4,3,5,3
"purkyne",5,6,6,6,4
"purkyne",6,5,5,5,5
"purkyne",5,6,6,3,4
"purkyne",4,5,5,3,3
"purkyne",4,3,6,4,6
"purkyne",4,4,5,5,6
"purkyne",4,6,6,5,5
"leuven",3,5,6,5,2
"leuven",2,4,6,6,2
"leuven",6,6,6,6,5
"leuven",6,6,6,6,5
"leuven",5,6,6,2,6
"leuven",6,6,7,4,3
"leuven",3,5,6,5,2
"leuven",5,7,7,7,7
"leuven",5,6,6,3,5
"leuven",1,5,6,6,3
"leuven",5,5,6,5,5
"leuven",4,7,7,5,5
"leuven",5,3,5,5,3
"leuven",1,1,1,5,1
"leuven",6,6,6,5,4
"leuven",7,7,7,7,3
"leuven",3,6,5,5,3
"leuven",2,3,3,5,3
"leuven",4,4,5,3,5
"leuven",5,6,6,5,6
"leuven",5,7,7,4,7
"leuven",4,3,5,5,3
"leuven",6,7,6,5,3
"leuven",6,6,6,6,4
"leuven",5,6,6,7,6
"leuven",6,6,6,5,4
"leuven",5,6,6,5,2
"leuven",4,4,4,4,4
"leuven",5,5,7,6,6
"leuven",5,6,6,6,6
"leuven",5,6,6,6,6
"leuven",2,3,5,2,5
"leuven",2,3,5,5,2
"leuven",5,7,7,7,7
"leuven",5,4,5,4,3
"leuven",5,5,5,2,4
"leuven",4,4,6,5,3
"leuven",5,7,5,2,3
"leuven",5,5,6,5,3
"leuven",5,5,5,5,4
"leuven",4,5,4,5,2
"leuven",5,5,4,5,3
"leuven",6,5,6,5,3
"leuven",4,5,5,4,5
"leuven",1,5,5,4,2
"leuven",5,6,5,4,2
"leuven",5,6,6,5,5
"leuven",5,5,5,5,3
"leuven",7,6,7,6,6
"leuven",4,5,5,5,5
"leuven",1,7,3,3,1
"leuven",5,4,6,5,2
"leuven",3,2,6,7,5
"leuven",6,7,6,5,6
"vuamsterdam",6,6,6,5,5
"vuamsterdam",3,5,5,2,1
"vuamsterdam",1,1,1,1,1
"vuamsterdam",6,7,7,6,6
"vuamsterdam",6,5,6,6,4
"vuamsterdam",5,6,7,5,3
"vuamsterdam",5,6,6,4,6
"vuamsterdam",5,5,5,4,5
"vuamsterdam",4,6,5,5,4
"vuamsterdam",5,3,5,3,3
"vuamsterdam",6,7,6,7,5
"vuamsterdam",3,3,5,6,5
"vuamsterdam",5,6,6,3,3
"vuamsterdam",2,2,2,2,3
"vuamsterdam",6,6,6,5,6
"vuamsterdam",4,6,6,5,4
"vuamsterdam",5,7,6,5,3
"vuamsterdam",2,6,4,5,6
"vuamsterdam",4,6,6,6,7
"vuamsterdam",5,6,6,6,3
"vuamsterdam",5,5,6,4,5
"vuamsterdam",4,6,5,5,4
"vuamsterdam",5,6,6,5,3
"vuamsterdam",3,6,6,3,3
"vuamsterdam",6,5,6,5,4
"vuamsterdam",4,6,5,4,1
"vuamsterdam",4,6,6,6,2
"vuamsterdam",6,5,5,6,2
"vuamsterdam",5,6,6,5,5
"vuamsterdam",3,2,5,6,6
"vuamsterdam",6,6,6,6,6
"vuamsterdam",3,3,4,5,2
"vuamsterdam",5,5,6,4,5
"vuamsterdam",4,4,6,4,2
"vuamsterdam",5,7,7,6,5
"vuamsterdam",6,5,6,6,5
"tilburg",2,2,2,1,2
"tilburg",2,3,5,2,3
"tilburg",6,6,7,6,6
"eindhoven",6,6,7,6,6
"eindhoven",6,6,6,4,3
"tilburg",6,6,6,6,6
"eindhoven",6,7,6,5,6
"eindhoven",3,4,5,3,5
"eindhoventab",5,6,7,6,6
"tilburg",6,6,7,6,5
"tilburg",5,5,5,4,4
"tilburg",3,4,5,3,1
"tilburg",3,2,6,4,2
"tilburg",2,2,4,1,1
"tilburg",5,6,7,3,3
"tilburg",5,5,5,6,3
"tilburg",6,2,6,6,6
"tilburg",6,6,6,6,5
"tilburg",3,5,5,5,3
"tilburg",5,5,6,4,6
"tilburg",6,6,5,5,6
"tilburg",5,5,6,3,3
"tilburg",6,6,7,6,5
"tilburg",6,7,7,6,5
"tilburg",6,5,6,6,5
"tilburg",5,5,5,4,3
"tilburg",2,5,5,3,3
"tilburg",6,6,6,4,6
"tilburgcaf",5,5,5,5,6
"tilburgcaf",5,6,6,5,3
"tilburg",6,3,6,6,2
"tilburg",6,6,7,6,6
"tilburg",5,5,6,5,6
"tilburgcaf",6,5,6,5,5
"tilburgcaf",2,5,6,4,1
"eindhoven",7,7,7,7,7
"tilburg",6,6,6,6,6
"tilburg",7,7,7,6,7
"tilburg",5,6,6,6,3
"tilburg",7,7,7,7,4
"tilburg",4,5,5,3,3
"eindhoven",5,5,6,3,5
"eindhoven",5,6,6,5,3
"eindhoven",6,5,7,6,7
"tilburg",5,4,6,6,6
"tilburgcaf",5,5,6,4,2
"tilburgcaf",5,6,6,4,5
"tilburg",5,3,7,6,4
"tilburgcaf",5,6,7,6,2
"tilburgcaf",6,6,6,6,7
"tilburg",5,5,6,4,4
"tilburg",6,6,7,6,3
"tilburg",5,7,6,5,3
"tilburg",5,5,5,6,6
"tilburgcaf",5,6,6,5,5
"tilburgcaf",5,6,6,3,4
"tilburgcaf",6,4,6,5,3
"tilburgcaf",3,2,2,3,2
"tilburgcaf",5,6,5,4,3
"tilburgcaf",4,6,6,5,4
"tilburgcaf",5,5,6,5,2
"tilburgcaf",3,6,6,5,5
"tilburg",3,3,5,3,2
"eindhoven",5,7,6,6,6
"eindhoven",5,5,5,1,2
"eindhoven",3,5,6,2,2
"eindhoven",5,7,6,7,6
"eindhoven",3,3,3,2,1
"eindhoven",5,6,6,5,5
"eindhoven",5,7,6,2,5
"tilburgcaf",7,7,6,5,5
"eindhoven",5,6,5,3,3
"tilburgcaf",5,6,7,4,6
"eindhoven",6,7,6,2,5
"eindhoven",4,5,5,5,4
"eindhoven",7,7,7,7,1
"tilburg",5,3,7,6,2
"tilburg",5,6,7,7,4
"tilburg",5,5,5,3,6
"tilburg",6,6,7,6,6
"tilburg",4,4,6,5,6
"tilburgcaf",6,6,6,5,6
"eindhoven",6,7,7,7,5
"eindhoven",5,6,6,5,5
"eindhoven",7,7,7,6,7
"eindhoven",6,6,6,6,6
"eindhoven",4,5,5,5,5
"eindhoventab",6,6,6,6,5
"eindhoven",2,4,5,3,2
"eindhoven",5,6,6,5,2
"eindhoven",5,6,6,4,1
"eindhoven",6,7,6,7,5
"eindhoven",5,6,6,6,6
"eindhoven",6,6,6,6,5
"eindhoven",6,7,7,6,6
"eindhoven",6,5,6,6,4
"eindhoven",2,2,3,3,4
"eindhoven",4,6,6,6,3
"eindhoven",7,6,6,7,7
