"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"mod_3_REV","logical",27,0.649350649350649,3,NA,NA,50,NA,NA,0.0713305898491086,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_4_REV","logical",13,0.831168831168831,3,NA,NA,64,NA,NA,0.260355029585799,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_5_REV","logical",14,0.818181818181818,3,NA,NA,63,NA,NA,0.244897959183674,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mod_6_REV","logical",12,0.844155844155844,3,NA,NA,65,NA,NA,0.486111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA
"inseperable_material","factor",77,0,3,NA,NA,42,"True",NA,0.495867768595041,NA,NA,NA,NA,NA,NA,NA,NA,NA
"def_count","numeric",77,0,2,0.480519480519481,0,0,NA,0.502896599458671,NA,0,1,1,0.0764671136839228,0.139585351535167,-2.01988120689419,-1.86521830265539,NA,NA
"def_total","numeric",77,0,2,0.909090909090909,1,1,NA,0.289364920846097,NA,0,1,1,-2.79078776349972,-5.09438727657973,5.86517119244392,5.41607329134706,NA,NA
"def_ratio","numeric",77,0,2,0.428571428571429,0,0,NA,0.498116754136899,NA,0,1,1,0.283069890977443,0.516724227416672,-1.94462247709001,-1.79572215615616,NA,NA
"op_count","numeric",77,0,4,4.22077922077922,4,4,NA,0.788459133930435,NA,2,5,3,-0.718608761079664,-1.31176987987511,-0.145293860542279,-0.134168666465104,NA,NA
"op_total","numeric",77,0,2,4.97402597402597,5,5,NA,0.160100788487652,NA,4,5,1,-5.84469067222868,-10.6690727921235,32.5840827570697,30.0891098576907,NA,NA
"op_ratio","numeric",77,0,5,0.151948051948052,0.2,0.2,NA,0.153348922404868,NA,0,0.6,0.6,0.757834104525278,1.3833729925096,0.102064712490955,0.0942495871260222,NA,NA
"sel_count","numeric",77,0,4,1.79220779220779,2,2,NA,0.521578130032267,NA,0,3,3,-0.770719731998497,-1.40689480148012,1.12403107487319,1.03796368145362,NA,NA
"sel_total","numeric",77,0,3,2.94805194805195,2,2,NA,0.998632010303462,NA,2,4,2,0.102009852624443,0.186211829538784,-2.00237416468913,-1.84905177987435,NA,NA
"sel_ratio","numeric",77,0,6,0.306276623376623,0.3333,0.3333,NA,0.305122395586506,NA,0,1,1,0.255065502706774,0.46560418125609,-1.44169446915249,-1.33130349523626,NA,NA
"quant_count","numeric",77,0,5,1.96103896103896,2,2,NA,0.801996824405684,NA,0,4,4,0.21949084511987,0.400665139545467,0.450395296055172,0.41590839439698,NA,NA
"quant_total","numeric",77,0,4,2.62337662337662,2,2,NA,0.85899208131515,NA,1,4,3,0.419517817252137,0.765800344425941,-0.98273497107549,-0.907486662311193,NA,NA
"quant_ratio","numeric",77,0,7,0.203462337662338,0,0,NA,0.291352293099717,NA,0,1,1,1.06022376295569,1.93536410004741,-0.191737770883818,-0.177056352790541,NA,NA
