"g","and1.4_2","and1.4_3","and1.4_6","and1.4_7","and1.4_10","and1.4_11","and1.4_13","and1.4_15","and1.4_16","and1.4_20"
"grazvienna",3,4,2,2,3,3,1,1,3,2
"grazvienna",1,1,1,1,1,2,1,1,1,1
"grazvienna",2,2,1,1,1,2,1,1,2,2
"grazvienna",1,1,1,1,1,1,2,2,2,1
"grazvienna",3,1,1,3,1,1,1,1,1,1
"grazvienna",1,1,1,1,1,1,1,1,1,1
"grazvienna",2,1,1,1,1,1,1,2,2,1
"grazvienna",1,2,1,1,1,1,1,1,1,1
"grazvienna",1,1,3,1,1,1,1,1,1,1
"potsdam",1,2,2,1,1,3,1,1,3,2
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",2,1,2,5,4,1,1,1,3,3
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",3,2,2,2,3,2,2,1,2,3
"potsdam",1,1,1,2,2,1,1,1,1,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",1,1,1,2,2,1,2,1,3,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",1,2,1,1,1,1,1,1,1,2
"potsdam",1,2,2,1,1,2,1,1,2,2
"potsdam",1,3,2,1,1,1,1,1,3,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",3,2,1,1,3,1,1,1,2,3
"potsdam",3,2,1,2,1,1,1,1,1,1
"potsdam",2,2,1,1,2,1,1,1,2,1
"potsdam",1,1,1,1,2,1,1,1,2,1
"potsdam",1,1,1,1,1,1,1,1,3,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",2,4,1,1,1,1,1,1,1,3
"potsdam",1,2,1,1,2,1,1,1,1,2
"potsdam",3,2,1,2,1,1,1,1,2,1
"potsdam",2,1,1,2,1,1,1,1,2,1
"potsdam",2,4,1,2,1,3,1,2,2,1
"potsdam",1,3,2,1,3,3,1,1,3,3
"potsdam",2,2,1,2,3,1,1,1,4,2
"potsdam",2,3,2,2,2,2,1,1,3,2
"potsdam",4,3,1,2,1,2,1,1,3,1
"potsdam",3,1,1,1,1,1,1,1,4,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",1,2,1,1,1,1,1,1,2,1
"potsdam",1,3,2,1,3,1,2,1,4,2
"potsdam",1,3,1,1,1,2,1,1,2,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",2,3,3,2,2,3,2,2,4,3
"potsdam",1,1,1,1,1,1,1,1,1,1
"potsdam",1,1,1,1,3,1,1,1,1,1
"potsdam",1,1,1,1,2,1,1,1,1,1
"potsdam",1,2,2,2,1,1,1,1,1,2
"potsdam",2,3,1,3,1,1,1,2,2,1
"potsdam",1,1,1,1,1,1,1,1,1,1
"brasilia",2,4,1,3,4,2,2,1,4,4
"brasilia",3,3,1,3,3,2,2,3,3,1
"brasilia",2,1,2,2,1,1,2,2,3,2
"brasilia",1,2,2,1,3,1,1,3,3,1
"brasilia",3,3,1,4,1,1,1,2,2,1
"brasilia",1,2,2,3,1,3,2,1,2,2
"brasilia",3,3,2,3,4,4,2,1,5,2
"brasilia",4,5,1,3,1,1,1,4,3,1
"brasilia",2,2,1,3,2,2,3,2,4,4
"brasilia",2,3,4,2,4,1,4,1,4,1
"brasilia",4,3,2,2,3,2,5,1,1,1
"brasilia",1,2,1,1,2,1,2,1,2,1
"brasilia",1,1,3,3,1,3,2,1,3,3
"brasilia",1,3,1,1,1,2,2,2,1,1
"brasilia",2,2,2,2,2,2,2,2,2,3
"brasilia",2,3,3,1,2,2,3,1,4,2
"brasilia",1,2,1,3,2,1,2,4,1,1
"brasilia",3,1,3,3,3,1,1,1,2,1
"brasilia",3,2,1,2,1,1,2,1,5,2
"brasilia",3,3,3,3,3,3,3,3,3,3
"brasilia",1,1,1,1,1,1,1,2,1,1
"brasilia",4,1,1,2,3,1,1,1,3,1
"brasilia",5,3,4,3,3,4,2,2,3,2
"brasilia",2,2,1,2,3,4,3,2,2,2
"brasilia",1,1,1,2,1,2,1,1,1,1
"brasilia",4,1,1,1,1,1,1,3,4,1
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",5,4,5,3,3,5,5,1,1,1
"brasilia",2,1,1,2,1,1,1,1,1,1
"brasilia",2,2,2,2,3,1,2,1,4,1
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",1,1,2,1,1,1,1,1,1,1
"brasilia",2,2,4,4,1,2,1,1,2,1
"brasilia",5,2,1,3,1,1,2,1,1,1
"brasilia",1,2,1,1,3,2,3,1,1,1
"brasilia",1,1,1,2,1,1,1,1,2,1
"brasilia",3,5,3,5,3,5,5,3,1,3
"brasilia",2,5,1,2,2,2,4,2,2,4
"brasilia",2,2,2,2,3,2,4,3,1,2
"brasilia",1,1,1,1,2,1,1,1,2,1
"brasilia",2,2,1,1,1,1,1,1,1,1
"brasilia",5,2,2,4,2,3,3,2,1,2
"brasilia",2,3,1,2,1,1,1,1,3,1
"brasilia",3,2,2,4,4,3,2,3,2,1
"brasilia",2,1,1,1,1,2,2,1,2,1
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",1,1,1,1,1,1,1,1,1,1
"brasilia",1,1,4,1,2,1,1,1,1,1
"wilfredlaur",2,2,1,1,1,1,1,1,2,1
"wilfredlaur",2,2,1,2,2,2,2,3,2,2
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",1,2,2,1,2,3,2,1,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,2,2,2,1,2,1,2,1,1
"wilfredlaur",3,2,1,2,3,3,1,1,3,2
"wilfredlaur",1,1,1,1,2,1,1,1,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",3,2,3,1,3,3,1,1,4,2
"wilfredlaur",2,1,1,1,1,1,1,1,3,1
"wilfredlaur",2,2,2,2,2,2,3,2,2,1
"wilfredlaur",2,2,1,1,1,1,3,1,1,1
"wilfredlaur",1,1,3,1,1,1,1,1,1,1
"wilfredlaur",2,2,2,2,4,2,2,2,2,2
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,2,1
"wilfredlaur",3,4,2,2,3,2,2,3,4,2
"wilfredlaur",3,2,1,3,4,2,4,2,1,3
"wilfredlaur",5,5,1,4,5,1,4,5,5,4
"wilfredlaur",2,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,3,3,2,2,2,1,1,3,4
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",1,3,1,1,3,2,1,1,1,1
"wilfredlaur",2,4,2,4,1,3,2,1,1,3
"wilfredlaur",2,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,2,3,3,2,3,2,1,3,2
"wilfredlaur",2,1,1,1,1,1,1,1,1,1
"wilfredlaur",1,4,1,2,4,1,4,1,4,4
"wilfredlaur",1,2,1,1,1,1,1,1,1,1
"wilfredlaur",3,3,2,3,3,2,3,2,3,3
"wilfredlaur",3,3,3,3,3,3,3,3,3,2
"wilfredlaur",4,3,2,3,3,2,1,4,3,3
"wilfredlaur",4,4,4,2,4,4,3,3,4,2
"wilfredlaur",2,2,1,1,2,1,1,1,2,2
"wilfredlaur",2,3,4,3,2,3,4,2,4,3
"wilfredlaur",2,2,2,2,2,2,2,2,2,2
"wilfredlaur",2,1,2,2,2,4,1,1,3,1
"wilfredlaur",3,3,4,2,2,4,1,3,2,1
"wilfredlaur",3,2,1,3,2,2,2,2,2,3
"wilfredlaur",3,1,1,2,1,1,1,2,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,1,1,2,3,1,2,1,2,2
"wilfredlaur",4,5,4,5,5,1,3,2,4,3
"wilfredlaur",1,2,1,1,1,1,1,1,4,1
"wilfredlaur",2,1,1,1,2,1,1,1,2,1
"wilfredlaur",3,1,3,3,3,3,1,1,1,1
"wilfredlaur",1,1,1,1,1,1,1,1,1,1
"wilfredlaur",2,2,2,3,3,2,3,2,2,3
"wilfredlaur",2,2,1,1,1,1,1,1,1,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubctab",2,2,1,2,2,1,2,1,1,3
"ubctab",1,1,1,1,1,1,1,1,2,1
"ubc",1,1,1,1,1,2,1,1,1,1
"ubc",4,3,1,1,1,1,1,1,4,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubctab",1,3,2,2,2,2,1,1,1,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubctab",2,4,2,1,4,1,1,3,2,1
"ubctab",1,1,1,1,1,1,1,1,2,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubc",4,1,1,1,1,1,1,1,1,1
"ubc",1,1,1,1,1,1,1,1,1,1
"toronto",5,3,4,5,1,3,3,4,2,2
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",2,1,1,1,1,1,1,1,1,1
"toronto",2,3,5,2,1,1,3,4,4,2
"toronto",1,1,5,5,1,1,2,1,1,4
"toronto",2,2,2,4,4,5,4,2,5,4
"ubctab",1,2,1,1,4,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,1,2,1
"toronto",1,1,1,1,2,1,2,1,2,1
"ubctab",2,2,2,2,2,1,1,1,2,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",4,3,5,3,2,1,5,5,4,5
"toronto",3,2,1,1,1,1,1,1,1,3
"ubctab",2,4,2,3,4,2,1,2,3,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubctab",2,2,2,2,2,2,2,3,3,2
"ubc",1,1,1,1,2,1,2,1,1,2
"ubc",1,1,1,1,1,1,1,1,1,1
"ubc",3,1,1,3,1,1,1,1,1,1
"ubc",2,1,1,2,1,1,1,1,2,1
"ubc",1,1,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,5,1,2,1,4,1
"toronto",1,2,1,1,1,1,1,1,1,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubc",4,1,1,1,3,2,3,2,3,1
"ubctab",2,4,3,2,5,1,3,2,3,4
"ubc",2,4,1,1,4,2,2,2,3,2
"toronto",2,1,1,3,1,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,2,2,4,5,1,5,2,3,4
"toronto",2,3,4,3,4,4,2,4,2,4
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,1,1,2,1,1,2,1,2,2
"toronto",2,2,1,2,1,1,1,1,1,1
"ubc",1,1,1,1,1,1,1,1,1,1
"ubc",2,4,1,3,1,1,1,1,1,1
"toronto",1,1,4,1,5,5,1,3,3,2
"ubctab",1,1,1,2,2,1,1,1,1,1
"toronto",2,2,1,1,1,1,1,1,1,1
"toronto",5,5,1,2,3,1,1,1,2,1
"toronto",1,1,1,1,1,1,1,1,4,1
"toronto",1,3,3,2,1,1,1,1,1,1
"toronto",3,3,2,4,4,1,1,2,1,3
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,2,1,1,1,1,1,2,1,1
"toronto",2,2,1,1,1,1,1,1,1,1
"toronto",2,2,3,4,4,2,3,4,2,3
"toronto",3,1,1,2,1,1,3,3,1,1
"toronto",3,2,1,1,3,1,2,1,2,2
"toronto",2,1,1,2,2,2,1,1,1,1
"ubctab",1,1,1,1,4,1,3,1,1,3
"toronto",1,3,5,3,2,4,3,1,3,2
"toronto",1,1,1,1,1,1,1,1,1,2
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"ubc",1,2,1,1,2,1,2,1,1,1
"ubctab",1,2,2,1,2,1,1,1,2,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",3,4,1,3,1,1,1,1,4,1
"toronto",2,4,1,2,2,1,2,1,3,2
"toronto",1,2,1,1,1,1,1,1,1,1
"toronto",5,4,3,3,3,3,5,3,3,5
"toronto",2,2,3,1,2,1,1,2,1,1
"toronto",2,2,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,1,2,1,1,1,1
"toronto",2,3,1,3,2,4,2,1,2,2
"toronto",2,1,1,1,1,1,1,1,1,1
"toronto",2,1,1,1,3,1,1,3,1,1
"toronto",1,2,2,1,2,1,1,1,2,1
"toronto",2,1,1,1,1,1,1,1,1,1
"toronto",5,3,1,5,2,5,2,1,2,2
"toronto",1,1,1,1,1,1,1,1,4,1
"toronto",4,4,2,1,1,1,1,1,2,1
"toronto",4,2,1,3,2,1,1,3,1,1
"toronto",1,1,1,1,1,2,1,1,1,3
"toronto",1,1,1,1,1,1,1,1,1,1
"ubctab",2,3,1,1,1,1,1,3,3,1
"toronto",3,3,1,1,2,1,1,1,1,1
"toronto",1,2,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,2,1,1,1,1,1
"toronto",3,4,1,1,3,1,1,1,1,1
"toronto",2,2,4,1,2,4,1,1,4,1
"toronto",2,2,1,2,1,1,1,2,2,1
"toronto",1,1,1,1,2,1,3,1,1,1
"toronto",1,2,1,3,3,1,3,2,4,4
"toronto",2,1,1,1,1,1,1,1,1,1
"toronto",3,3,3,3,3,3,3,3,3,3
"toronto",2,3,1,3,1,1,1,2,2,1
"toronto",2,2,1,3,3,2,1,1,2,1
"toronto",2,2,1,1,1,1,1,1,1,1
"toronto",2,3,2,2,2,1,2,2,2,2
"toronto",3,2,2,2,4,3,2,1,3,2
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,1,3,2,3,2,1,1,1,2
"toronto",2,3,1,1,1,1,1,1,1,1
"toronto",2,4,2,2,2,2,2,2,2,2
"toronto",2,2,1,2,2,1,1,1,1,1
"toronto",1,1,1,2,1,1,1,1,1,1
"toronto",2,2,1,1,3,1,1,2,3,1
"toronto",1,4,1,1,3,1,3,1,2,2
"toronto",1,1,1,1,1,2,1,1,1,1
"toronto",3,4,2,3,2,3,3,5,5,2
"toronto",2,1,3,2,4,1,1,2,2,1
"toronto",1,1,1,2,2,4,1,1,4,2
"toronto",4,4,1,4,1,1,2,3,1,3
"toronto",3,2,1,1,1,1,1,2,2,1
"ubc",3,2,2,2,2,2,2,2,2,2
"ubc",1,2,1,1,2,1,2,1,1,2
"ubc",1,1,1,1,1,1,1,1,1,1
"ubc",3,1,1,1,1,1,1,3,1,1
"toronto",3,4,3,1,2,1,4,1,1,1
"toronto",1,3,1,1,3,2,1,1,1,1
"toronto",2,2,1,2,2,1,2,1,2,1
"toronto",1,2,1,1,2,2,1,3,1,1
"ubctab",2,1,1,1,1,1,1,1,1,1
"ubc",1,3,3,1,1,4,1,1,1,2
"toronto",3,1,1,1,1,1,1,1,1,1
"toronto",2,4,2,2,2,2,2,2,2,2
"toronto",2,1,1,2,2,2,1,3,2,3
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"ubc",5,2,1,2,5,5,3,3,4,5
"toronto",3,1,1,1,1,1,1,1,1,1
"toronto",1,1,2,1,1,1,1,1,1,1
"toronto",2,4,2,1,2,2,1,2,1,1
"ubctab",2,2,1,2,3,2,1,1,3,1
"ubctab",2,1,1,2,1,1,1,1,1,1
"toronto",1,1,1,2,1,2,1,1,1,1
"toronto",1,2,1,1,1,1,1,1,1,1
"toronto",4,4,2,4,4,4,5,2,4,4
"toronto",2,3,3,2,4,2,1,3,2,2
"toronto",1,2,3,4,4,4,2,1,4,2
"toronto",1,3,1,2,1,3,4,1,3,1
"toronto",4,5,4,5,5,4,1,1,2,2
"toronto",2,2,1,2,1,1,2,1,1,1
"toronto",5,5,2,3,3,2,3,1,5,4
"toronto",4,2,1,3,2,2,2,2,2,1
"toronto",2,2,1,1,2,1,1,1,1,1
"toronto",1,4,1,2,5,2,4,1,2,2
"toronto",1,1,1,1,1,1,1,1,4,1
"toronto",1,2,1,1,2,1,5,1,4,2
"toronto",1,3,1,1,1,2,2,1,4,1
"toronto",1,1,1,1,3,1,1,1,3,1
"toronto",2,1,1,1,1,1,1,1,3,1
"toronto",4,4,4,4,4,3,4,3,4,4
"toronto",1,1,1,1,1,1,1,1,1,1
"ubctab",3,3,3,3,4,3,3,3,4,3
"toronto",3,3,3,3,3,3,4,2,4,4
"toronto",1,1,1,1,4,1,3,1,3,2
"toronto",2,4,1,2,3,1,2,1,1,2
"ubc",1,2,1,1,1,2,1,1,1,1
"toronto",1,3,1,1,1,1,1,1,4,1
"ubctab",4,5,5,5,5,5,5,3,4,5
"toronto",2,3,4,3,2,2,5,1,1,4
"toronto",2,4,3,3,4,3,4,1,2,5
"toronto",3,2,3,3,2,2,2,3,3,2
"toronto",1,1,1,1,1,1,1,4,1,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",4,4,1,4,3,1,2,2,4,2
"toronto",4,1,1,1,1,1,1,1,1,1
"toronto",3,3,2,2,3,3,2,3,3,2
"toronto",5,1,1,1,1,1,1,2,4,1
"toronto",5,5,4,5,5,4,5,1,2,5
"ubc",1,2,1,1,3,1,2,1,2,2
"ubc",4,3,2,3,3,1,1,2,2,2
"toronto",1,1,2,1,3,1,2,2,3,2
"toronto",1,2,1,1,4,1,1,2,2,3
"ubc",1,3,1,1,1,2,1,1,2,2
"toronto",2,2,1,1,1,1,1,1,1,1
"toronto",2,3,2,2,4,2,3,1,2,3
"ubc",1,2,1,2,2,1,1,1,1,1
"toronto",3,3,2,2,2,3,2,2,3,2
"toronto",1,3,1,1,2,1,1,1,1,2
"toronto",3,1,1,2,1,1,1,1,1,1
"toronto",4,1,3,3,3,1,1,1,4,1
"toronto",4,3,4,4,2,1,2,1,3,1
"toronto",1,1,1,1,2,1,1,1,2,1
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",3,3,3,4,3,3,4,3,2,4
"toronto",4,1,1,1,1,1,1,3,2,1
"toronto",2,3,2,3,4,1,3,3,4,3
"toronto",2,3,1,2,3,1,2,1,2,3
"toronto",3,3,1,1,1,1,1,1,3,1
"ubctab",1,1,2,1,2,1,1,1,2,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubc",1,1,2,1,4,4,5,1,1,5
"ubc",2,3,1,2,2,2,1,2,1,1
"ubc",3,3,3,3,3,3,3,3,3,3
"toronto",1,1,1,1,1,1,1,1,1,1
"toronto",5,3,4,5,4,5,4,2,3,4
"toronto",2,4,1,1,1,1,1,1,4,1
"toronto",3,2,3,2,2,1,3,2,2,1
"ubc",1,1,1,1,1,1,1,1,2,1
"ubc",3,3,1,1,1,1,1,1,1,2
"ubctab",1,2,2,2,1,1,1,1,1,1
"toronto",1,1,2,1,1,1,1,1,2,1
"toronto",2,1,1,1,1,1,1,1,1,1
"ubc",2,1,1,2,1,1,1,2,1,1
"ubctab",4,5,3,3,4,2,3,3,4,3
"ubctab",4,4,4,5,4,3,4,1,1,4
"ubc",1,1,1,1,1,1,1,1,2,1
"toronto",3,1,1,1,4,1,2,3,3,4
"toronto",2,2,2,2,3,1,2,2,3,2
"toronto",3,4,1,4,2,1,3,3,2,1
"ubc",1,2,1,1,2,1,2,1,1,2
"ubc",2,2,1,1,1,1,1,2,1,1
"ubc",1,2,1,3,2,1,1,1,2,1
"toronto",1,1,2,1,1,1,1,1,2,1
"toronto",4,5,3,2,5,3,4,1,4,3
"toronto",1,4,1,2,3,1,1,2,3,1
"toronto",4,4,1,4,4,1,1,1,4,1
"toronto",3,3,2,2,3,1,2,2,2,3
"ubc",3,3,3,1,1,1,1,3,1,1
"ubctab",1,1,1,1,1,1,1,1,1,1
"ubc",1,1,1,1,2,1,1,1,3,1
"ubctab",3,2,3,3,3,4,3,4,3,3
"ubc",3,3,1,1,1,1,2,2,1,2
"ouhktab",1,1,1,2,1,1,1,1,1,1
"ouhktab",3,1,1,3,5,1,2,3,4,4
"ouhktab",1,1,1,1,1,1,1,1,1,1
"ouhktab",2,1,2,3,3,3,3,2,2,3
"ouhktab",4,4,2,4,2,2,1,3,2,1
"ouhktab",3,2,3,3,3,3,3,3,3,2
"ouhktab",1,1,1,1,1,1,1,1,1,1
"ouhktab",3,3,1,4,4,2,4,1,4,4
"ouhktab",5,4,4,5,4,3,4,2,4,5
"ouhktab",5,1,1,5,2,1,3,1,1,2
"ouhktab",1,1,1,1,2,1,2,1,1,2
"ouhktab",1,1,1,1,1,1,1,1,3,1
"ouhktab",2,1,2,2,3,1,2,1,3,2
"ouhktab",2,2,1,1,2,1,1,1,2,1
"hkust",4,4,3,4,4,2,3,2,4,4
"hkust",5,5,3,5,5,3,5,3,3,5
"hkust",4,5,4,5,4,4,3,4,4,4
"hkust",3,2,2,3,3,2,4,4,3,2
"hkust",3,2,4,4,4,3,3,3,4,3
"hkust",3,2,4,3,3,2,2,2,3,4
"hkust",4,3,3,4,3,4,2,3,4,3
"hkust",2,2,3,2,2,1,2,2,2,3
"hkust",4,5,1,5,4,1,4,1,5,2
"hkust",4,4,3,3,4,2,2,2,4,2
"hkust",4,2,1,4,4,3,1,1,2,4
"hkust",5,5,5,4,4,5,2,2,4,3
"hkust",2,1,1,2,2,1,1,1,1,2
"hkust",3,2,2,3,4,2,3,1,3,3
"hkust",1,1,1,1,1,1,1,1,1,1
"hkust",4,2,1,4,3,1,3,3,4,4
"hkust",4,3,2,3,4,2,2,3,4,3
"hkust",3,3,4,3,2,3,4,2,3,4
"hkust",2,2,3,3,3,3,2,2,3,3
"hkust",5,3,4,4,4,5,3,3,2,3
"hkust",1,2,1,3,1,1,1,1,1,1
"hkust",2,3,4,4,4,4,3,1,1,2
"hkust",3,2,4,2,4,2,4,2,4,4
"hkust",2,2,1,1,2,2,2,1,1,2
"hkust",2,1,1,2,1,1,1,1,1,2
"hkust",2,2,2,2,4,2,2,2,2,2
"hkust",5,2,4,4,4,4,4,2,4,5
"hkust",3,2,1,2,2,2,1,1,1,2
"hkust",2,2,1,2,4,1,4,1,1,2
"hkust",5,4,4,5,4,4,4,3,5,5
"hkust",1,1,1,2,1,1,2,1,2,2
"hkust",2,2,2,2,2,2,2,1,2,2
"hkust",2,2,2,2,3,2,2,2,1,2
"hkust",4,3,2,4,3,3,3,2,2,3
"hkust",1,1,1,1,2,3,1,3,2,1
"hkust",3,2,3,3,3,3,3,3,3,2
"hkust",1,2,2,2,1,2,1,1,3,4
"hkust",3,3,2,4,2,2,3,3,2,4
"hkust",4,4,3,4,3,2,1,1,4,2
"hkust",1,1,1,1,2,1,1,2,2,1
"hkust",1,1,1,1,1,1,1,1,1,1
"hkust",2,1,4,4,1,2,1,1,1,2
"hkust",2,1,1,1,1,1,1,1,3,1
"hkust",2,2,1,4,3,1,1,1,1,1
"hkust",4,2,1,4,1,1,2,1,2,3
"hkust",3,1,1,3,1,1,1,1,2,1
"hkust",2,1,1,4,2,1,1,1,2,1
"hkust",2,1,2,2,1,2,1,1,1,1
"hkust",1,1,1,1,1,1,1,1,1,1
"hkusttab",2,1,2,3,4,1,2,1,1,2
"hkusttab",5,4,1,5,1,1,1,1,1,1
"hkusttab",4,3,2,3,4,3,3,2,1,4
"hkusttab",4,4,1,4,3,3,3,3,3,4
"hkusttab",3,2,4,2,3,2,2,3,4,3
"hkusttab",2,2,1,4,4,1,2,3,2,3
"hkusttab",3,3,3,3,3,2,2,1,3,2
"hkusttab",2,2,3,2,2,1,1,1,4,1
"hkusttab",2,5,5,2,2,5,4,4,3,2
"hkusttab",1,1,1,2,2,1,3,1,1,2
"hkusttab",2,1,2,1,1,1,1,1,2,1
"hkusttab",2,1,1,2,1,2,4,1,4,1
"hkusttab",2,2,1,2,1,1,1,1,1,1
"hkusttab",2,1,1,4,4,1,3,1,2,3
"hkusttab",3,1,1,2,5,1,1,2,2,1
"hkusttab",3,2,3,4,3,3,2,3,4,2
"castab",2,2,1,2,2,1,1,1,3,1
"castab",3,1,4,2,2,1,1,1,4,1
"cas",2,2,2,2,2,1,2,2,2,2
"cas",1,1,1,1,1,1,1,1,4,1
"cas",2,1,1,1,1,1,1,1,4,1
"castab",3,1,1,3,2,1,2,1,2,1
"cas",2,1,2,1,1,2,1,1,3,1
"castab",1,1,1,1,1,1,1,1,3,1
"castab",2,2,2,2,2,1,1,1,3,2
"castab",2,1,2,1,2,1,1,2,4,1
"cas",1,1,1,1,1,1,1,1,1,1
"castab",2,1,1,1,2,1,1,1,1,1
"castab",1,1,1,2,2,1,1,1,1,1
"castab",3,3,3,4,2,3,2,1,5,2
"cas",1,1,1,1,1,1,1,1,1,1
"castab",3,1,2,2,3,2,2,2,2,2
"cas",2,2,2,2,3,2,2,1,4,2
"cas",2,2,1,2,2,2,1,1,1,1
"castab",2,1,1,3,2,1,1,1,3,1
"cas",1,1,1,1,2,1,1,1,3,1
"cas",2,1,1,1,1,1,1,1,2,1
"cas",1,1,1,1,1,1,1,1,2,1
"cas",1,1,1,2,1,2,1,1,3,2
"castab",2,2,2,2,1,2,1,1,4,2
"castab",4,1,1,4,4,1,1,1,1,1
"castab",3,3,3,3,3,3,3,3,3,3
"cas",1,1,1,2,1,1,1,1,2,1
"cas",1,1,1,2,1,1,1,1,2,1
"castab",3,4,5,1,4,3,1,4,2,1
"castab",1,1,1,1,1,1,1,1,1,1
"castab",2,2,1,2,4,5,2,1,1,3
"castab",1,1,1,1,1,1,1,1,2,1
"cas",1,2,2,2,2,2,1,1,2,1
"castab",1,1,1,1,1,1,1,1,2,1
"castab",3,2,4,2,2,2,3,1,4,2
"castab",2,2,2,2,3,2,2,1,2,2
"cas",3,2,2,3,2,1,2,1,2,2
"castab",3,3,4,3,4,4,2,1,5,5
"cas",1,1,1,1,1,1,1,1,1,1
"castab",1,1,1,1,1,1,1,1,1,1
"castab",1,2,2,2,2,2,2,2,3,2
"castab",1,2,1,2,1,1,1,1,2,1
"cas",1,1,1,2,1,1,1,1,2,2
"cas",1,1,2,1,1,2,1,1,1,1
"cas",1,1,1,1,1,1,1,1,2,1
"cas",1,1,1,1,1,1,1,1,1,1
"castab",2,2,3,2,2,2,3,2,2,2
"cas",1,1,1,1,1,1,1,1,2,1
"castab",4,3,2,2,1,2,1,1,4,2
"cas",4,1,2,1,1,2,1,1,5,1
"castab",1,1,1,1,2,2,2,1,2,2
"castab",1,1,3,1,1,1,1,1,3,1
"cas",1,1,1,1,1,1,1,1,3,1
"cas",4,2,2,4,4,2,1,3,5,1
"castab",1,4,5,4,2,4,1,1,4,2
"cas",1,1,1,1,1,1,1,1,3,1
"cas",1,2,2,2,2,1,1,1,2,4
"castab",2,1,2,2,2,2,1,1,2,1
"cas",4,1,1,4,1,2,1,1,2,1
"castab",1,1,1,1,1,1,1,1,1,1
"castab",1,1,1,1,1,1,1,1,1,1
"cas",2,2,1,2,5,1,1,2,5,2
"castab",1,1,1,1,1,1,1,1,1,1
"castab",1,1,1,1,1,1,1,1,2,1
"castab",2,2,1,2,3,1,1,1,4,1
"cas",3,3,1,2,2,1,1,1,1,1
"cas",2,1,1,2,1,1,1,1,1,1
"castab",1,3,1,4,1,1,1,1,1,1
"cas",1,1,1,1,1,1,1,1,1,1
"zhejiang",5,4,2,4,4,2,1,1,3,1
"zhejiang",1,1,1,1,1,1,1,1,1,1
"zhejiang",2,1,1,4,1,1,2,2,1,2
"zhejiang",3,1,1,2,1,1,1,1,1,1
"zhejiang",5,2,2,3,4,4,4,1,5,4
"zhejiang",2,1,5,1,1,1,4,1,1,1
"zhejiang",3,1,1,3,3,1,1,1,1,1
"zhejiang",3,2,1,2,2,1,2,2,1,1
"zhejiang",2,2,3,2,4,1,2,2,1,2
"zhejiang",3,2,1,3,3,1,1,1,1,1
"zhejiang",1,1,1,1,1,1,1,1,1,1
"zhejiang",3,2,1,3,1,1,1,2,1,1
