"g","and1.4_2","and1.4_3","and1.4_6","and1.4_7","and1.4_10","and1.4_11","and1.4_13","and1.4_15","and1.4_16","and1.4_20"
"ouhktab",1,2,1,1,3,1,1,1,1,1
"ouhktab",2,1,2,3,1,1,2,1,2,1
"ouhktab",4,3,2,3,4,4,2,1,2,3
"ouhktab",2,2,1,2,4,2,2,3,4,3
"ouhktab",1,1,1,1,2,1,1,1,1,1
"ouhktab",1,1,1,1,2,1,1,1,1,2
"ouhktab",3,2,3,2,2,2,3,1,3,2
"ouhktab",5,2,1,5,3,1,2,1,1,2
"ouhktab",4,4,3,4,3,4,5,4,3,5
"ouhktab",1,1,1,1,1,1,1,1,1,1
"hkust",5,4,4,4,4,4,4,4,3,4
"hkust",1,1,1,2,1,1,1,1,1,1
"hkust",4,3,2,4,3,2,3,4,2,4
"hkust",3,3,4,4,4,3,2,3,4,4
"hkust",2,2,2,2,3,2,3,1,3,3
"hkust",4,3,2,4,2,2,1,2,2,1
"hkust",2,1,1,2,1,1,1,1,1,1
"hkust",1,1,1,1,1,1,1,1,1,1
"hkust",2,1,1,2,1,1,1,1,1,1
"hkust",3,2,2,2,3,1,2,3,4,2
"hkust",2,2,2,2,3,1,3,4,3,3
"hkust",4,4,1,4,2,1,1,1,3,3
"hkust",5,4,4,5,5,3,4,5,3,4
"hkust",1,1,1,2,2,1,1,1,1,1
"hkust",2,3,3,3,3,2,1,1,2,1
"hkust",2,2,1,3,3,1,1,1,1,1
"hkust",4,1,1,1,5,1,1,1,2,1
"hkust",1,1,1,1,1,1,1,1,1,1
"hkust",2,1,1,3,1,1,1,1,2,1
"hkust",3,3,2,3,3,2,3,4,4,3
"hkust",2,2,2,2,1,3,2,2,1,2
"hkust",4,3,3,4,3,4,3,2,3,3
"hkust",3,3,1,3,2,3,3,2,3,3
"hkust",3,2,3,3,2,3,3,3,3,3
"hkust",5,5,3,5,5,2,5,4,4,5
"hkust",1,1,1,1,1,1,1,1,2,2
"hkust",1,2,1,1,2,1,2,1,1,1
"hkust",2,2,2,2,1,2,2,2,4,2
"hkust",4,2,3,4,4,1,4,1,3,3
"hkust",5,3,3,5,5,5,5,2,3,5
"hkust",2,1,3,4,4,2,2,1,2,2
"hkust",3,1,1,2,1,1,1,1,3,1
"hkust",1,1,1,1,1,1,1,1,2,1
"hkust",4,1,1,4,4,3,2,1,3,2
"hkust",3,3,4,3,2,1,1,1,1,2
"hkust",1,1,1,1,1,1,1,1,1,1
